mp-id;formula;structure_type;cations;valences;CNs;Bond valence sum
mp-505552;Cd2Ru2O7;mp-9765;['Ru', 'Ru', 'Ru', 'Ru', 'Cd', 'Cd', 'Cd', 'Cd'];[5, 5, 5, 5, 2, 2, 2, 2];['6', '6', '6', '6', '8', '8', '8', '8'];[2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 1.0, 1.0]
mp-4394;Pr2Sn2O7;mp-9765;['Sn', 'Sn', 'Sn', 'Sn', 'Pr', 'Pr', 'Pr', 'Pr'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];[1.5, 1.5, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333]
mp-23445;Bi2Ru2O7;mp-9765;['Ru', 'Ru', 'Ru', 'Ru', 'Bi', 'Bi', 'Bi', 'Bi'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];[1.5, 1.5, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333]
mp-19153;Lu2Mn2O7;mp-9765;['Mn', 'Mn', 'Mn', 'Mn', 'Lu', 'Lu', 'Lu', 'Lu'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];[1.5, 1.5, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333]
mp-25127;Lu2V2O7;mp-9765;['V', 'V', 'V', 'V', 'Lu', 'Lu', 'Lu', 'Lu'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];[1.5, 1.5, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333]
mp-15170;Lu2Sn2O7;mp-9765;['Sn', 'Sn', 'Sn', 'Sn', 'Lu', 'Lu', 'Lu', 'Lu'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];[1.5, 1.5, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333]
mp-4602;Tb2Ti2O7;mp-9765;['Ti', 'Ti', 'Ti', 'Ti', 'Tb', 'Tb', 'Tb', 'Tb'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];[1.5, 1.5, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333]
mp-19674;Sc2Mn2O7;mp-9765;['Sc', 'Sc', 'Sc', 'Sc', 'Mn', 'Mn', 'Mn', 'Mn'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];[2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 1.5, 1.5, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333]
mp-566186;Sm2Mo2O7;mp-9765;['Sm', 'Sm', 'Sm', 'Sm', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];[2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 1.5, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 1.5, 2.083333333333333, 2.083333333333333, 2.083333333333333]
mp-505306;Eu2Sn2O7;mp-9765;['Eu', 'Eu', 'Eu', 'Eu', 'Sn', 'Sn', 'Sn', 'Sn'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];[2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333, 1.5, 1.5]
