mp-id;formula;structure_type;cations;valences;CNs;Connections of Cations with Valences
mp-22942;BaBiO3;mp-2920;['Ba', 'Ba', 'Bi', 'Bi'];[2, 2, 3, 5];['12', '12', '6', '6'];{'Bi': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}, 5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-4525;SrRuO3;mp-2920;['Sr', 'Sr', 'Ru', 'Ru'];[2, 2, 4, 4];['12', '12', '6', '6'];{'Ru': {4: {'no': 48, 'corner': 12, 'edge': 0, 'face': 0}}}
mp-22246;EuTiO3;mp-2920;['Ti', 'Eu'];[4, 2];['6', '12'];{'Ti': {4: {'no': 26, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-12730;Ba2YbRuO6;mp-2920;['Ru', 'Ba', 'Ba', 'Yb'];[5, 2, 2, 3];['6', '12', '12', '6'];{'Ru': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Yb': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-3163;BaSnO3;mp-2920;['Sn', 'Ba'];[4, 2];['6', '12'];{'Sn': {4: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-6613;Ba2YTaO6;mp-2920;['Y', 'Ba', 'Ba', 'Ta'];[3, 2, 2, 5];['6', '12', '12', '6'];{'Y': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Ta': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-550685;Ba2CaTeO6;mp-2920;['Ba', 'Ba', 'Te', 'Ca'];[2, 2, 6, 2];['12', '12', '6', '6'];{'Te': {6: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Ca': {2: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-505025;BaPuO3;mp-2920;['Ba', 'Ba', 'Ba', 'Ba', 'Pu', 'Pu', 'Pu', 'Pu'];[2, 2, 2, 2, 4, 4, 4, 4];['12', '12', '12', '12', '6', '6', '6', '6'];{'Pu': {4: {'no': 80, 'corner': 24, 'edge': 0, 'face': 0}}}
mp-18940;Sr2NiMoO6;mp-2920;['Ni', 'Sr', 'Sr', 'Mo'];[2, 2, 2, 6];['6', '12', '12', '6'];{'Ni': {2: {'no': 24, 'corner': 6, 'edge': 0, 'face': 0}}, 'Mo': {6: {'no': 24, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-23137;Ba2YBiO6;mp-2920;['Y', 'Ba', 'Ba', 'Bi'];[3, 2, 2, 5];['6', '12', '12', '6'];{'Y': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Bi': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-13933;Ba2HoReO6;mp-2920;['Ba', 'Ba', 'Ho', 'Re'];[2, 2, 3, 5];['12', '12', '6', '6'];{'Ho': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Re': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-25003;Ba2UMnO6;mp-2920;['Mn', 'Ba', 'Ba', 'U'];[2, 2, 2, 6];['6', '12', '12', '6'];{'Mn': {2: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'U': {6: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
