mp-id;formula;structure_type;cations;valences;CNs;Connections depending on element, CN, and valence
mp-31116;LaScO3;mp-556421;['La', 'La', 'La', 'La', 'Sc', 'Sc', 'Sc', 'Sc'];[3, 3, 3, 3, 3, 3, 3, 3];['12', '12', '12', '12', '6', '6', '6', '6'];{'La': {'val1:3': {'val2:3': {'CN1:12': {'CN2:12': {'no': 32, 'corner': 48, 'edge': 0, 'face': 24}, 'CN2:6': {'no': 96, 'corner': 0, 'edge': 0, 'face': 32}}, 'CN1:6': {'CN2:12': {'no': 96, 'corner': 0, 'edge': 0, 'face': 32}}}}}, 'Sc': {'val1:3': {'val2:3': {'CN1:12': {'CN2:6': {'no': 96, 'corner': 0, 'edge': 0, 'face': 32}}, 'CN1:6': {'CN2:12': {'no': 96, 'corner': 0, 'edge': 0, 'face': 32}, 'CN2:6': {'no': 80, 'corner': 24, 'edge': 0, 'face': 0}}}}}}
mp-18983;ErNiO3;mp-556421;['Ni', 'Ni', 'Ni', 'Ni', 'Er', 'Er', 'Er', 'Er'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9'];{'Ni': {'val1:3': {'val2:3': {'CN1:6': {'CN2:6': {'no': 104, 'corner': 24, 'edge': 0, 'face': 0}, 'CN2:9': {'no': 124, 'corner': 8, 'edge': 8, 'face': 16}}, 'CN1:9': {'CN2:6': {'no': 124, 'corner': 8, 'edge': 8, 'face': 16}}}}}, 'Er': {'val1:3': {'val2:3': {'CN1:6': {'CN2:9': {'no': 124, 'corner': 8, 'edge': 8, 'face': 16}}, 'CN1:9': {'CN2:6': {'no': 124, 'corner': 8, 'edge': 8, 'face': 16}, 'CN2:9': {'no': 88, 'corner': 32, 'edge': 8, 'face': 8}}}}}}
mp-6325;Ba3MgTa2O9;mp-556421;['Mg', 'Ba', 'Ba', 'Ba', 'Ta', 'Ta'];[2, 2, 2, 2, 5, 5];['6', '12', '12', '12', '6', '6'];{'Mg': {'val1:2': {'val2:2': {'CN1:6': {'CN2:6': {'no': 8, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:12': {'no': 24, 'corner': 0, 'edge': 0, 'face': 8}}, 'CN1:12': {'CN2:6': {'no': 24, 'corner': 0, 'edge': 0, 'face': 8}}}, 'val2:5': {'CN1:6': {'CN2:6': {'no': 12, 'corner': 6, 'edge': 0, 'face': 0}}}}, 'val1:5': {'val2:2': {'CN1:6': {'CN2:6': {'no': 12, 'corner': 6, 'edge': 0, 'face': 0}}}}}, 'Ba': {'val1:2': {'val2:2': {'CN1:6': {'CN2:12': {'no': 24, 'corner': 0, 'edge': 0, 'face': 8}}, 'CN1:12': {'CN2:6': {'no': 24, 'corner': 0, 'edge': 0, 'face': 8}, 'CN2:12': {'no': 24, 'corner': 36, 'edge': 0, 'face': 18}}}, 'val2:5': {'CN1:12': {'CN2:6': {'no': 48, 'corner': 0, 'edge': 0, 'face': 16}}, 'CN1:6': {'CN2:12': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:5': {'val2:2': {'CN1:12': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:12': {'no': 48, 'corner': 0, 'edge': 0, 'face': 16}}}}}, 'Ta': {'val1:2': {'val2:5': {'CN1:6': {'CN2:6': {'no': 12, 'corner': 6, 'edge': 0, 'face': 0}, 'CN2:12': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:12': {'CN2:6': {'no': 48, 'corner': 0, 'edge': 0, 'face': 16}}}}, 'val1:5': {'val2:2': {'CN1:6': {'CN2:6': {'no': 12, 'corner': 6, 'edge': 0, 'face': 0}, 'CN2:12': {'no': 48, 'corner': 0, 'edge': 0, 'face': 16}}, 'CN1:12': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}, 'val2:5': {'CN1:6': {'CN2:6': {'no': 28, 'corner': 6, 'edge': 0, 'face': 0}}}}}}
mp-24999;YFeO3;mp-556421;['Fe', 'Fe', 'Fe', 'Fe', 'Y', 'Y', 'Y', 'Y'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9'];{'Fe': {'val1:3': {'val2:3': {'CN1:6': {'CN2:6': {'no': 104, 'corner': 24, 'edge': 0, 'face': 0}, 'CN2:9': {'no': 96, 'corner': 8, 'edge': 8, 'face': 16}}, 'CN1:9': {'CN2:6': {'no': 96, 'corner': 8, 'edge': 8, 'face': 16}}}}}, 'Y': {'val1:3': {'val2:3': {'CN1:6': {'CN2:9': {'no': 96, 'corner': 8, 'edge': 8, 'face': 16}}, 'CN1:9': {'CN2:6': {'no': 96, 'corner': 8, 'edge': 8, 'face': 16}, 'CN2:9': {'no': 80, 'corner': 32, 'edge': 8, 'face': 8}}}}}}
mp-5223;GdAlO3;mp-556421;['Al', 'Al', 'Al', 'Al', 'Gd', 'Gd', 'Gd', 'Gd'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12'];{'Al': {'val1:3': {'val2:3': {'CN1:6': {'CN2:6': {'no': 104, 'corner': 24, 'edge': 0, 'face': 0}, 'CN2:12': {'no': 96, 'corner': 0, 'edge': 0, 'face': 32}}, 'CN1:12': {'CN2:6': {'no': 96, 'corner': 0, 'edge': 0, 'face': 32}}}}}, 'Gd': {'val1:3': {'val2:3': {'CN1:6': {'CN2:12': {'no': 96, 'corner': 0, 'edge': 0, 'face': 32}}, 'CN1:12': {'CN2:6': {'no': 96, 'corner': 0, 'edge': 0, 'face': 32}, 'CN2:12': {'no': 56, 'corner': 48, 'edge': 0, 'face': 24}}}}}}
mp-566636;Ca2MnSbO6;mp-556421;['Ca', 'Ca', 'Ca', 'Ca', 'Mn', 'Mn', 'Sb', 'Sb'];[2, 2, 2, 2, 3, 3, 5, 5];['12', '12', '12', '12', '6', '6', '6', '6'];{'Ca': {'val1:2': {'val2:2': {'CN1:12': {'CN2:12': {'no': 48, 'corner': 48, 'edge': 0, 'face': 24}}}, 'val2:3': {'CN1:12': {'CN2:6': {'no': 48, 'corner': 0, 'edge': 0, 'face': 16}}, 'CN1:6': {'CN2:12': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}, 'val2:5': {'CN1:12': {'CN2:6': {'no': 48, 'corner': 0, 'edge': 0, 'face': 16}}, 'CN1:6': {'CN2:12': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:3': {'val2:2': {'CN1:12': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:12': {'no': 48, 'corner': 0, 'edge': 0, 'face': 16}}}}, 'val1:5': {'val2:2': {'CN1:12': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:12': {'no': 48, 'corner': 0, 'edge': 0, 'face': 16}}}}}, 'Mn': {'val1:2': {'val2:3': {'CN1:12': {'CN2:6': {'no': 48, 'corner': 0, 'edge': 0, 'face': 16}}, 'CN1:6': {'CN2:12': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:3': {'val2:2': {'CN1:12': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:12': {'no': 48, 'corner': 0, 'edge': 0, 'face': 16}}}, 'val2:3': {'CN1:6': {'CN2:6': {'no': 32, 'corner': 4, 'edge': 0, 'face': 0}}}, 'val2:5': {'CN1:6': {'CN2:6': {'no': 16, 'corner': 8, 'edge': 0, 'face': 0}}}}, 'val1:5': {'val2:3': {'CN1:6': {'CN2:6': {'no': 16, 'corner': 8, 'edge': 0, 'face': 0}}}}}, 'Sb': {'val1:2': {'val2:5': {'CN1:12': {'CN2:6': {'no': 48, 'corner': 0, 'edge': 0, 'face': 16}}, 'CN1:6': {'CN2:12': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:5': {'val2:2': {'CN1:12': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:12': {'no': 48, 'corner': 0, 'edge': 0, 'face': 16}}}, 'val2:3': {'CN1:6': {'CN2:6': {'no': 16, 'corner': 8, 'edge': 0, 'face': 0}}}, 'val2:5': {'CN1:6': {'CN2:6': {'no': 32, 'corner': 4, 'edge': 0, 'face': 0}}}}, 'val1:3': {'val2:5': {'CN1:6': {'CN2:6': {'no': 16, 'corner': 8, 'edge': 0, 'face': 0}}}}}}
mp-18974;HoNiO3;mp-556421;['Ni', 'Ni', 'Ni', 'Ni', 'Ho', 'Ho', 'Ho', 'Ho'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9'];{'Ni': {'val1:3': {'val2:3': {'CN1:6': {'CN2:6': {'no': 104, 'corner': 24, 'edge': 0, 'face': 0}, 'CN2:9': {'no': 116, 'corner': 8, 'edge': 8, 'face': 16}}, 'CN1:9': {'CN2:6': {'no': 116, 'corner': 8, 'edge': 8, 'face': 16}}}}}, 'Ho': {'val1:3': {'val2:3': {'CN1:6': {'CN2:9': {'no': 116, 'corner': 8, 'edge': 8, 'face': 16}}, 'CN1:9': {'CN2:6': {'no': 116, 'corner': 8, 'edge': 8, 'face': 16}, 'CN2:9': {'no': 88, 'corner': 32, 'edge': 8, 'face': 8}}}}}}
mp-19170;PrNiO3;mp-556421;['Ni', 'Ni', 'Pr', 'Pr'];[3, 3, 3, 3];['6', '6', '12', '12'];{'Ni': {'val1:3': {'val2:3': {'CN1:6': {'CN2:6': {'no': 52, 'corner': 12, 'edge': 0, 'face': 0}, 'CN2:12': {'no': 48, 'corner': 0, 'edge': 0, 'face': 16}}, 'CN1:12': {'CN2:6': {'no': 48, 'corner': 0, 'edge': 0, 'face': 16}}}}}, 'Pr': {'val1:3': {'val2:3': {'CN1:6': {'CN2:12': {'no': 48, 'corner': 0, 'edge': 0, 'face': 16}}, 'CN1:12': {'CN2:6': {'no': 48, 'corner': 0, 'edge': 0, 'face': 16}, 'CN2:12': {'no': 28, 'corner': 24, 'edge': 0, 'face': 12}}}}}}
mp-5304;LaAlO3;mp-556421;['Al', 'La'];[3, 3];['6', '12'];{'Al': {'val1:3': {'val2:3': {'CN1:6': {'CN2:6': {'no': 26, 'corner': 6, 'edge': 0, 'face': 0}, 'CN2:12': {'no': 24, 'corner': 0, 'edge': 0, 'face': 8}}, 'CN1:12': {'CN2:6': {'no': 24, 'corner': 0, 'edge': 0, 'face': 8}}}}}, 'La': {'val1:3': {'val2:3': {'CN1:6': {'CN2:12': {'no': 24, 'corner': 0, 'edge': 0, 'face': 8}}, 'CN1:12': {'CN2:6': {'no': 24, 'corner': 0, 'edge': 0, 'face': 8}, 'CN2:12': {'no': 14, 'corner': 12, 'edge': 0, 'face': 6}}}}}}
mp-8557;BaPaO3;mp-556421;['Ba', 'Pa'];[2, 4];['12', '6'];{'Ba': {'val1:2': {'val2:2': {'CN1:12': {'CN2:12': {'no': 8, 'corner': 12, 'edge': 0, 'face': 6}}}, 'val2:4': {'CN1:12': {'CN2:6': {'no': 24, 'corner': 0, 'edge': 0, 'face': 8}}, 'CN1:6': {'CN2:12': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:4': {'val2:2': {'CN1:12': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:12': {'no': 24, 'corner': 0, 'edge': 0, 'face': 8}}}}}, 'Pa': {'val1:2': {'val2:4': {'CN1:12': {'CN2:6': {'no': 24, 'corner': 0, 'edge': 0, 'face': 8}}, 'CN1:6': {'CN2:12': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:4': {'val2:2': {'CN1:12': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:12': {'no': 24, 'corner': 0, 'edge': 0, 'face': 8}}}, 'val2:4': {'CN1:6': {'CN2:6': {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}}}}
