mp-id;formula;structure_type;cations;valences;CNs;Connections of Cations with Valences
mp-11992;LiLa2IrO6;mp-6457;['Li', 'Li', 'La', 'La', 'La', 'La', 'Ir', 'Ir'];[1, 1, 3, 3, 3, 3, 5, 5];['6', '6', '12', '12', '12', '12', '6', '6'];{'Li': {1: {'no': 92, 'corner': 12, 'edge': 0, 'face': 16}}, 'La': {3: {'no': 136, 'corner': 48, 'edge': 0, 'face': 56}}, 'Ir': {5: {'no': 92, 'corner': 12, 'edge': 0, 'face': 16}}}
mp-19205;ErVO3;mp-6457;['V', 'V', 'V', 'V', 'Er', 'Er', 'Er', 'Er'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9'];{'V': {3: {'no': 200, 'corner': 32, 'edge': 8, 'face': 16}}, 'Er': {3: {'no': 176, 'corner': 40, 'edge': 16, 'face': 24}}}
mp-5223;GdAlO3;mp-6457;['Al', 'Al', 'Al', 'Al', 'Gd', 'Gd', 'Gd', 'Gd'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12'];{'Al': {3: {'no': 200, 'corner': 24, 'edge': 0, 'face': 32}}, 'Gd': {3: {'no': 152, 'corner': 48, 'edge': 0, 'face': 56}}}
mp-20687;Sr2LuRuO6;mp-6457;['Sr', 'Sr', 'Sr', 'Sr', 'Ru', 'Ru', 'Lu', 'Lu'];[2, 2, 2, 2, 5, 5, 3, 3];['12', '12', '12', '12', '6', '6', '6', '6'];{'Sr': {2: {'no': 128, 'corner': 48, 'edge': 0, 'face': 56}}, 'Ru': {5: {'no': 88, 'corner': 12, 'edge': 0, 'face': 16}}, 'Lu': {3: {'no': 88, 'corner': 12, 'edge': 0, 'face': 16}}}
mp-3317;SmRhO3;mp-6457;['Rh', 'Rh', 'Rh', 'Rh', 'Sm', 'Sm', 'Sm', 'Sm'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9'];{'Rh': {3: {'no': 200, 'corner': 32, 'edge': 8, 'face': 16}}, 'Sm': {3: {'no': 176, 'corner': 40, 'edge': 16, 'face': 24}}}
mp-6068;Sr2TbRuO6;mp-6457;['Sr', 'Sr', 'Sr', 'Sr', 'Ru', 'Ru', 'Tb', 'Tb'];[2, 2, 2, 2, 5, 5, 3, 3];['12', '12', '12', '12', '6', '6', '6', '6'];{'Sr': {2: {'no': 128, 'corner': 48, 'edge': 0, 'face': 56}}, 'Ru': {5: {'no': 88, 'corner': 12, 'edge': 0, 'face': 16}}, 'Tb': {3: {'no': 88, 'corner': 12, 'edge': 0, 'face': 16}}}
mp-24970;Ca2FeSbO6;mp-6457;['Ca', 'Ca', 'Ca', 'Ca', 'Fe', 'Fe', 'Sb', 'Sb'];[2, 2, 2, 2, 3, 3, 5, 5];['12', '12', '12', '12', '6', '6', '6', '6'];{'Ca': {2: {'no': 152, 'corner': 48, 'edge': 0, 'face': 56}}, 'Fe': {3: {'no': 100, 'corner': 12, 'edge': 0, 'face': 16}}, 'Sb': {5: {'no': 100, 'corner': 12, 'edge': 0, 'face': 16}}}
mp-18983;ErNiO3;mp-6457;['Ni', 'Ni', 'Ni', 'Ni', 'Er', 'Er', 'Er', 'Er'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9'];{'Ni': {3: {'no': 228, 'corner': 32, 'edge': 8, 'face': 16}}, 'Er': {3: {'no': 212, 'corner': 40, 'edge': 16, 'face': 24}}}
mp-19114;Ca2NiWO6;mp-6457;['Ca', 'Ca', 'Ca', 'Ca', 'Ni', 'Ni', 'W', 'W'];[2, 2, 2, 2, 2, 2, 6, 6];['12', '12', '12', '12', '6', '6', '6', '6'];{'Ca': {2: {'no': 152, 'corner': 48, 'edge': 0, 'face': 56}}, 'Ni': {2: {'no': 100, 'corner': 12, 'edge': 0, 'face': 16}}, 'W': {6: {'no': 100, 'corner': 12, 'edge': 0, 'face': 16}}}
mp-18769;CeVO3;mp-6457;['V', 'V', 'V', 'V', 'Ce', 'Ce', 'Ce', 'Ce'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9'];{'V': {3: {'no': 200, 'corner': 32, 'edge': 8, 'face': 16}}, 'Ce': {3: {'no': 176, 'corner': 40, 'edge': 16, 'face': 24}}}
mp-19336;Nd2MnCoO6;mp-6457;['Nd', 'Nd', 'Nd', 'Nd', 'Mn', 'Mn', 'Co', 'Co'];[3, 3, 3, 3, 4, 4, 2, 2];['12', '12', '12', '12', '6', '6', '6', '6'];{'Nd': {3: {'no': 152, 'corner': 48, 'edge': 0, 'face': 56}}, 'Mn': {4: {'no': 100, 'corner': 12, 'edge': 0, 'face': 16}}, 'Co': {2: {'no': 100, 'corner': 12, 'edge': 0, 'face': 16}}}
mp-14430;Sr2YRuO6;mp-6457;['Sr', 'Sr', 'Sr', 'Sr', 'Y', 'Y', 'Ru', 'Ru'];[2, 2, 2, 2, 3, 3, 5, 5];['12', '12', '12', '12', '6', '6', '6', '6'];{'Sr': {2: {'no': 128, 'corner': 48, 'edge': 0, 'face': 56}}, 'Y': {3: {'no': 88, 'corner': 12, 'edge': 0, 'face': 16}}, 'Ru': {5: {'no': 88, 'corner': 12, 'edge': 0, 'face': 16}}}
mp-12448;LiSm2OsO6;mp-6457;['Li', 'Li', 'Sm', 'Sm', 'Sm', 'Sm', 'Os', 'Os'];[1, 1, 3, 3, 3, 3, 5, 5];['6', '6', '9', '9', '9', '9', '6', '6'];{'Li': {1: {'no': 100, 'corner': 16, 'edge': 4, 'face': 8}}, 'Sm': {3: {'no': 176, 'corner': 40, 'edge': 16, 'face': 24}}, 'Os': {5: {'no': 100, 'corner': 16, 'edge': 4, 'face': 8}}}
