mp-id;formula;structure_type;cations;valences;CNs;Connections depending on element, CN, and valence
mp-504769;N2O5;mp-504769;['N', 'N', 'N', 'N'];[5, 5, 5, 5];['2', '3', '2', '3'];{'N': {'val1:5': {'val2:5': {'CN1:2': {'CN2:2': {'no': 40, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:3': {'no': 96, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:3': {'CN2:2': {'no': 96, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:3': {'no': 44, 'corner': 0, 'edge': 0, 'face': 0}}}}}}
mp-12177;Te2O5;mp-12177;['Te', 'Te', 'Te', 'Te'];[4, 4, 6, 6];['5', '5', '6', '6'];{'Te': {'val1:4': {'val2:4': {'CN1:5': {'CN2:5': {'no': 28, 'corner': 4, 'edge': 0, 'face': 0}}}, 'val2:6': {'CN1:5': {'CN2:6': {'no': 84, 'corner': 8, 'edge': 4, 'face': 0}}, 'CN1:6': {'CN2:5': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:6': {'val2:4': {'CN1:5': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:5': {'no': 84, 'corner': 8, 'edge': 4, 'face': 0}}}, 'val2:6': {'CN1:6': {'CN2:6': {'no': 24, 'corner': 8, 'edge': 0, 'face': 0}}}}}}
mp-556480;Ti3O5;mp-556480;['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti'];[3, 3, 3, 3, 4, 4];['5', '6', '5', '6', '6', '6'];{'Ti': {'val1:3': {'val2:3': {'CN1:5': {'CN2:5': {'no': 52, 'corner': 4, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 64, 'corner': 4, 'edge': 12, 'face': 0}}, 'CN1:6': {'CN2:5': {'no': 64, 'corner': 4, 'edge': 12, 'face': 0}, 'CN2:6': {'no': 34, 'corner': 4, 'edge': 6, 'face': 0}}}, 'val2:4': {'CN1:5': {'CN2:6': {'no': 72, 'corner': 16, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:5': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 92, 'corner': 4, 'edge': 0, 'face': 0}}}}, 'val1:4': {'val2:3': {'CN1:5': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:5': {'no': 72, 'corner': 16, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 92, 'corner': 4, 'edge': 0, 'face': 0}}}, 'val2:4': {'CN1:6': {'CN2:6': {'no': 34, 'corner': 4, 'edge': 6, 'face': 0}}}}}}
mp-18922;Mn5O8;mp-18922;['Mn', 'Mn', 'Mn', 'Mn', 'Mn'];[3, 3, 3, 3, 4];['6', '6', '6', '6', '6'];{'Mn': {'val1:3': {'val2:3': {'CN1:6': {'CN2:6': {'no': 222, 'corner': 16, 'edge': 16, 'face': 0}}}, 'val2:4': {'CN1:6': {'CN2:6': {'no': 108, 'corner': 12, 'edge': 12, 'face': 0}}}}, 'val1:4': {'val2:3': {'CN1:6': {'CN2:6': {'no': 108, 'corner': 12, 'edge': 12, 'face': 0}}}, 'val2:4': {'CN1:6': {'CN2:6': {'no': 16, 'corner': 0, 'edge': 0, 'face': 0}}}}}}
mp-622640;V3O7;mp-622640;['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[5, 5, 4, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 4, 4, 5, 4, 5];['2', '2', '6', '2', '2', '2', '6', '6', '6', '2', '6', '2', '2', '6', '6', '6', '6', '6'];{'V': {'val1:5': {'val2:5': {'CN1:2': {'CN2:2': {'no': 152, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 168, 'corner': 8, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:2': {'no': 168, 'corner': 8, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 36, 'corner': 8, 'edge': 0, 'face': 0}}}, 'val2:4': {'CN1:2': {'CN2:6': {'no': 240, 'corner': 32, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:2': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 112, 'corner': 8, 'edge': 8, 'face': 0}}}}, 'val1:4': {'val2:5': {'CN1:2': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:2': {'no': 240, 'corner': 32, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 112, 'corner': 8, 'edge': 8, 'face': 0}}}, 'val2:4': {'CN1:6': {'CN2:6': {'no': 72, 'corner': 12, 'edge': 4, 'face': 0}}}}}}
mp-1478;Cu4O3;mp-1478;['Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu'];[2, 2, 2, 2, 1, 1, 1, 1];['4', '4', '4', '4', '2', '2', '2', '2'];{'Cu': {'val1:2': {'val2:2': {'CN1:4': {'CN2:4': {'no': 176, 'corner': 16, 'edge': 8, 'face': 0}}}, 'val2:1': {'CN1:4': {'CN2:2': {'no': 384, 'corner': 32, 'edge': 0, 'face': 0}}, 'CN1:2': {'CN2:4': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:1': {'val2:2': {'CN1:4': {'CN2:2': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:2': {'CN2:4': {'no': 384, 'corner': 32, 'edge': 0, 'face': 0}}}, 'val2:1': {'CN1:2': {'CN2:2': {'no': 192, 'corner': 8, 'edge': 0, 'face': 0}}}}}}
mp-560402;U3O8;mp-560402;['U', 'U', 'U', 'U', 'U', 'U'];[6, 5, 5, 6, 5, 5];['7', '7', '6', '7', '7', '6'];{'U': {'val1:6': {'val2:6': {'CN1:7': {'CN2:7': {'no': 24, 'corner': 0, 'edge': 0, 'face': 0}}}, 'val2:5': {'CN1:7': {'CN2:7': {'no': 28, 'corner': 4, 'edge': 8, 'face': 0}, 'CN2:6': {'no': 28, 'corner': 16, 'edge': 4, 'face': 0}}, 'CN1:6': {'CN2:7': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:5': {'val2:6': {'CN1:7': {'CN2:7': {'no': 28, 'corner': 4, 'edge': 8, 'face': 0}, 'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:7': {'no': 28, 'corner': 16, 'edge': 4, 'face': 0}}}, 'val2:5': {'CN1:7': {'CN2:7': {'no': 20, 'corner': 4, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 36, 'corner': 8, 'edge': 4, 'face': 0}}, 'CN1:6': {'CN2:7': {'no': 36, 'corner': 8, 'edge': 4, 'face': 0}, 'CN2:6': {'no': 24, 'corner': 0, 'edge': 0, 'face': 0}}}}}}
mp-541846;P4O9;mp-541846;['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P'];[3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];['3', '3', '3', '3', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'P': {'val1:3': {'val2:3': {'CN1:3': {'CN2:3': {'no': 52, 'corner': 0, 'edge': 0, 'face': 0}}}, 'val2:5': {'CN1:3': {'CN2:4': {'no': 288, 'corner': 24, 'edge': 0, 'face': 0}}, 'CN1:4': {'CN2:3': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:5': {'val2:3': {'CN1:3': {'CN2:4': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:4': {'CN2:3': {'no': 288, 'corner': 24, 'edge': 0, 'face': 0}}}, 'val2:5': {'CN1:4': {'CN2:4': {'no': 384, 'corner': 24, 'edge': 0, 'face': 0}}}}}}
mp-561240;Mo5O14;mp-561240;['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4'];{'Mo': {'val1:5': {'val2:5': {'CN1:6': {'CN2:6': {'no': 104, 'corner': 32, 'edge': 0, 'face': 0}}}, 'val2:6': {'CN1:6': {'CN2:6': {'no': 160, 'corner': 32, 'edge': 0, 'face': 0}, 'CN2:4': {'no': 48, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:4': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:6': {'val2:5': {'CN1:6': {'CN2:6': {'no': 160, 'corner': 32, 'edge': 0, 'face': 0}, 'CN2:4': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:4': {'CN2:6': {'no': 48, 'corner': 0, 'edge': 0, 'face': 0}}}, 'val2:6': {'CN1:6': {'CN2:6': {'no': 80, 'corner': 16, 'edge': 0, 'face': 0}, 'CN2:4': {'no': 112, 'corner': 32, 'edge': 0, 'face': 0}}, 'CN1:4': {'CN2:6': {'no': 112, 'corner': 32, 'edge': 0, 'face': 0}, 'CN2:4': {'no': 32, 'corner': 0, 'edge': 0, 'face': 0}}}}}}
mp-622101;Mo4O11;mp-622101;['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5];['4', '4', '4', '4', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'Mo': {'val1:6': {'val2:6': {'CN1:4': {'CN2:4': {'no': 32, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 40, 'corner': 24, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:4': {'no': 40, 'corner': 24, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 32, 'corner': 0, 'edge': 0, 'face': 0}}}, 'val2:5': {'CN1:4': {'CN2:6': {'no': 104, 'corner': 8, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:4': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 96, 'corner': 24, 'edge': 0, 'face': 0}}}}, 'val1:5': {'val2:6': {'CN1:4': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:4': {'no': 104, 'corner': 8, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 96, 'corner': 24, 'edge': 0, 'face': 0}}}, 'val2:5': {'CN1:6': {'CN2:6': {'no': 104, 'corner': 32, 'edge': 0, 'face': 0}}}}}}
