mp-id;formula;cations;valences;CNs
mp-31353;La3OsO7;['La', 'La', 'La', 'La', 'La', 'La', 'Os', 'Os'];[3, 3, 3, 3, 3, 3, 5, 5];['8', '8', '9', '9', '9', '9', '6', '6']
mp-5779;Sm3RuO7;['Ru', 'Ru', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm'];[5, 5, 3, 3, 3, 3, 3, 3];['6', '6', '9', '9', '9', '9', '8', '8']
mp-17666;Nd3OsO7;['Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Os', 'Os'];[3, 3, 3, 3, 3, 3, 5, 5];['8', '8', '9', '9', '9', '9', '6', '6']
mp-14963;Pr3NbO7;['Nb', 'Nb', 'Pr', 'Pr', 'Pr', 'Pr', 'Pr', 'Pr'];[5, 5, 3, 3, 3, 3, 3, 3];['6', '6', '9', '9', '9', '9', '8', '8']
mp-683963;Gd3RuO7;['Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5];['7', '9', '7', '9', '9', '7', '7', '9', '6', '8', '7', '8', '8', '7', '8', '8', '6', '7', '6', '8', '8', '7', '6', '8', '6', '6', '6', '6', '6', '6', '6', '6']
mp-561983;Eu3OsO7;['Eu', 'Eu', 'Eu', 'Eu', 'Eu', 'Eu', 'Os', 'Os'];[3, 3, 3, 3, 3, 3, 5, 5];['7', '7', '7', '7', '8', '8', '6', '6']
mp-9559;Nd3IrO7;['Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Ir', 'Ir'];[3, 3, 3, 3, 3, 3, 5, 5];['10', '10', '9', '9', '9', '9', '6', '6']
mp-5448;Pr3SbO7;['Sb', 'Sb', 'Pr', 'Pr', 'Pr', 'Pr', 'Pr', 'Pr'];[5, 5, 3, 3, 3, 3, 3, 3];['6', '6', '9', '9', '9', '9', '8', '8']
mp-31415;La3TaO7;['La', 'La', 'La', 'La', 'La', 'La', 'Ta', 'Ta'];[3, 3, 3, 3, 3, 3, 5, 5];['8', '8', '9', '9', '9', '9', '6', '6']
mp-16825;Gd3OsO7;['Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Os', 'Os'];[3, 3, 3, 3, 3, 3, 5, 5];['8', '8', '9', '9', '9', '9', '6', '6']
mp-17237;Gd3RuO7;['Ru', 'Ru', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd'];[5, 5, 3, 3, 3, 3, 3, 3];['6', '6', '9', '9', '9', '9', '8', '8']
mp-3384;Er3Al5O12;['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Er', 'Er', 'Er', 'Er', 'Er', 'Er', 'Er', 'Er', 'Er', 'Er', 'Er', 'Er'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6', '6', '6', '6', '6', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8']
mp-15575;Ho3Ga5O12;['Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6', '6', '6', '6', '6', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8']
