mp-id;formula;structure_type;cations;valences;CNs
mp-14415;Pr2Be2GeO7;mp-9077;['Be', 'Be', 'Be', 'Be', 'Ge', 'Ge', 'Pr', 'Pr', 'Pr', 'Pr'];[2, 2, 2, 2, 4, 4, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8']
mp-6208;Ca2BeSi2O7;mp-9077;['Be', 'Be', 'Si', 'Si', 'Si', 'Si', 'Ca', 'Ca', 'Ca', 'Ca'];[2, 2, 4, 4, 4, 4, 2, 2, 2, 2];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8']
mp-18786;Ca2CoSi2O7;mp-9077;['Si', 'Si', 'Si', 'Si', 'Ca', 'Ca', 'Ca', 'Ca', 'Co', 'Co'];[4, 4, 4, 4, 2, 2, 2, 2, 2, 2];['4', '4', '4', '4', '8', '8', '8', '8', '4', '4']
mp-541040;Y2Be2GeO7;mp-9077;['Y', 'Y', 'Y', 'Y', 'Ge', 'Ge', 'Be', 'Be', 'Be', 'Be'];[3, 3, 3, 3, 4, 4, 2, 2, 2, 2];['8', '8', '8', '8', '4', '4', '4', '4', '4', '4']
mp-640807;Na2V2ZnO7;mp-9077;['Na', 'Na', 'Na', 'Na', 'V', 'V', 'V', 'V', 'Zn', 'Zn'];[1, 1, 1, 1, 5, 5, 5, 5, 2, 2];['8', '8', '8', '8', '4', '4', '4', '4', '4', '4']
mp-19926;La2Be2GeO7;mp-9077;['Be', 'Be', 'Be', 'Be', 'Ge', 'Ge', 'La', 'La', 'La', 'La'];[2, 2, 2, 2, 4, 4, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8']
mp-20778;Dy2Be2GeO7;mp-9077;['Be', 'Be', 'Be', 'Be', 'Ge', 'Ge', 'Dy', 'Dy', 'Dy', 'Dy'];[2, 2, 2, 2, 4, 4, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8']
mp-559691;Ca2Al2SiO7;mp-9077;['Ca', 'Ca', 'Ca', 'Ca', 'Al', 'Al', 'Al', 'Al', 'Si', 'Si'];[2, 2, 2, 2, 3, 3, 3, 3, 4, 4];['8', '8', '8', '8', '4', '4', '4', '4', '4', '4']
mp-542209;Ba2CoSi2O7;mp-9077;['Ba', 'Ba', 'Ba', 'Ba', 'Co', 'Co', 'Si', 'Si', 'Si', 'Si'];[2, 2, 2, 2, 2, 2, 4, 4, 4, 4];['8', '8', '8', '8', '4', '4', '4', '4', '4', '4']
mp-6094;Ca2MgSi2O7;mp-9077;['Mg', 'Mg', 'Si', 'Si', 'Si', 'Si', 'Ca', 'Ca', 'Ca', 'Ca'];[2, 2, 4, 4, 4, 4, 2, 2, 2, 2];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8']
mp-19646;K2MnV2O7;mp-9077;['K', 'K', 'K', 'K', 'V', 'V', 'V', 'V', 'Mn', 'Mn'];[1, 1, 1, 1, 5, 5, 5, 5, 2, 2];['8', '8', '8', '8', '4', '4', '4', '4', '4', '4']
mp-25703;Sr2MnGe2O7;mp-9077;['Mn', 'Mn', 'Ge', 'Ge', 'Ge', 'Ge', 'Sr', 'Sr', 'Sr', 'Sr'];[2, 2, 4, 4, 4, 4, 2, 2, 2, 2];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8']
mp-7013;Ho2Be2SiO7;mp-9077;['Be', 'Be', 'Be', 'Be', 'Si', 'Si', 'Ho', 'Ho', 'Ho', 'Ho'];[2, 2, 2, 2, 4, 4, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8']
mp-982662;Eu2MgSi2O7;mp-9077;['Eu', 'Eu', 'Eu', 'Eu', 'Mg', 'Mg', 'Si', 'Si', 'Si', 'Si'];[2, 2, 2, 2, 2, 2, 4, 4, 4, 4];['8', '8', '8', '8', '4', '4', '4', '4', '4', '4']
mp-14420;Er2Be2GeO7;mp-9077;['Be', 'Be', 'Be', 'Be', 'Ge', 'Ge', 'Er', 'Er', 'Er', 'Er'];[2, 2, 2, 2, 4, 4, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8']
mp-972387;Sr2MgGe2O7;mp-9077;['Sr', 'Sr', 'Sr', 'Sr', 'Mg', 'Mg', 'Ge', 'Ge', 'Ge', 'Ge'];[2, 2, 2, 2, 2, 2, 4, 4, 4, 4];['8', '8', '8', '8', '4', '4', '4', '4', '4', '4']
mp-6564;Sr2MgSi2O7;mp-9077;['Mg', 'Mg', 'Si', 'Si', 'Si', 'Si', 'Sr', 'Sr', 'Sr', 'Sr'];[2, 2, 4, 4, 4, 4, 2, 2, 2, 2];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8']
mp-650715;Gd2Be2GeO7;mp-9077;['Gd', 'Gd', 'Gd', 'Gd', 'Be', 'Be', 'Be', 'Be', 'Ge', 'Ge'];[3, 3, 3, 3, 2, 2, 2, 2, 4, 4];['8', '8', '8', '8', '4', '4', '4', '4', '4', '4']
mp-14416;Sm2Be2GeO7;mp-9077;['Be', 'Be', 'Be', 'Be', 'Ge', 'Ge', 'Sm', 'Sm', 'Sm', 'Sm'];[2, 2, 2, 2, 4, 4, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8']
mp-18247;Sr3ScRhO6;mp-18247;['Sc', 'Sc', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Rh', 'Rh'];[3, 3, 2, 2, 2, 2, 2, 2, 3, 3];['6', '6', '8', '8', '8', '8', '8', '8', '6', '6']
mp-18652;Sr3HoRhO6;mp-18247;['Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Rh', 'Rh', 'Ho', 'Ho'];[2, 2, 2, 2, 2, 2, 3, 3, 3, 3];['8', '8', '8', '8', '8', '8', '6', '6', '6', '6']
mp-542294;Sr3NiRhO6;mp-18247;['Rh', 'Rh', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Ni', 'Ni'];[4, 4, 2, 2, 2, 2, 2, 2, 2, 2];['6', '6', '8', '8', '8', '8', '8', '8', '6', '6']
mp-6064;Sr3MgPtO6;mp-18247;['Mg', 'Mg', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Pt', 'Pt'];[2, 2, 2, 2, 2, 2, 2, 2, 4, 4];['6', '6', '8', '8', '8', '8', '8', '8', '6', '6']
mp-18330;Sr3ZnRhO6;mp-18247;['Zn', 'Zn', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Rh', 'Rh'];[2, 2, 2, 2, 2, 2, 2, 2, 4, 4];['6', '6', '8', '8', '8', '8', '8', '8', '6', '6']
mp-17149;Sr3ErRhO6;mp-18247;['Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Rh', 'Rh', 'Er', 'Er'];[2, 2, 2, 2, 2, 2, 3, 3, 3, 3];['8', '8', '8', '8', '8', '8', '6', '6', '6', '6']
mp-18843;Ca3FeRhO6;mp-18247;['Ca', 'Ca', 'Ca', 'Ca', 'Ca', 'Ca', 'Fe', 'Fe', 'Rh', 'Rh'];[2, 2, 2, 2, 2, 2, 3, 3, 3, 3];['8', '8', '8', '8', '8', '8', '6', '6', '6', '6']
mp-669389;Sr3InRhO6;mp-18247;['Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'In', 'In', 'Rh', 'Rh'];[2, 2, 2, 2, 2, 2, 3, 3, 3, 3];['8', '8', '8', '8', '8', '8', '6', '6', '6', '6']
mp-6723;Sr3ZnIrO6;mp-18247;['Zn', 'Zn', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Ir', 'Ir'];[2, 2, 2, 2, 2, 2, 2, 2, 4, 4];['6', '6', '8', '8', '8', '8', '8', '8', '6', '6']
mp-16984;Sr3MgRhO6;mp-18247;['Mg', 'Mg', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Rh', 'Rh'];[2, 2, 2, 2, 2, 2, 2, 2, 4, 4];['6', '6', '8', '8', '8', '8', '8', '8', '6', '6']
mp-18792;Ca3(CoO3)2;mp-18247;['Ca', 'Ca', 'Ca', 'Ca', 'Ca', 'Ca', 'Co', 'Co', 'Co', 'Co'];[2, 2, 2, 2, 2, 2, 3, 3, 3, 3];['8', '8', '8', '8', '8', '8', '6', '6', '6', '6']
mp-6730;Sr3ZnPtO6;mp-18247;['Zn', 'Zn', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Pt', 'Pt'];[2, 2, 2, 2, 2, 2, 2, 2, 4, 4];['6', '6', '8', '8', '8', '8', '8', '8', '6', '6']
mp-19634;Sr3ScNiO6;mp-18247;['Sc', 'Sc', 'Ni', 'Ni', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr'];[3, 3, 3, 3, 2, 2, 2, 2, 2, 2];['6', '6', '6', '6', '8', '8', '8', '8', '8', '8']
mp-18982;Sr3NiIrO6;mp-18247;['Ni', 'Ni', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Ir', 'Ir'];[2, 2, 2, 2, 2, 2, 2, 2, 4, 4];['6', '6', '8', '8', '8', '8', '8', '8', '6', '6']
mp-19166;Sr3NiPtO6;mp-18247;['Ni', 'Ni', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Pt', 'Pt'];[2, 2, 2, 2, 2, 2, 2, 2, 4, 4];['6', '6', '8', '8', '8', '8', '8', '8', '6', '6']
mp-9454;Sr3MgIrO6;mp-18247;['Mg', 'Mg', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Ir', 'Ir'];[2, 2, 2, 2, 2, 2, 2, 2, 4, 4];['6', '6', '8', '8', '8', '8', '8', '8', '6', '6']
mp-25601;Sr3NiPbO6;mp-18247;['Ni', 'Ni', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Pb', 'Pb'];[2, 2, 2, 2, 2, 2, 2, 2, 4, 4];['6', '6', '8', '8', '8', '8', '8', '8', '6', '6']
mp-19461;Na5Nd(WO4)4;mp-19461;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Nd', 'Nd', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6];['8', '8', '4', '4', '8', '8', '8', '8', '8', '8', '8', '8', '4', '4', '4', '4', '4', '4', '4', '4']
mp-558234;Na5La(WO4)4;mp-19461;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'La', 'La', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6];['4', '4', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '4', '4', '4', '4', '4', '4', '4', '4']
mp-19463;Na5Tb(WO4)4;mp-19461;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Tb', 'Tb', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6];['8', '8', '8', '8', '8', '4', '8', '8', '4', '8', '8', '8', '4', '4', '4', '4', '4', '4', '4', '4']
mp-19497;Na5Y(MoO4)4;mp-19461;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Y', 'Y', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6];['4', '4', '8', '8', '8', '8', '8', '8', '8', '8', '8', '8', '4', '4', '4', '4', '4', '4', '4', '4']
mp-566277;Na5Er(MoO4)4;mp-19461;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Er', 'Er', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6];['8', '8', '8', '8', '8', '8', '8', '4', '8', '4', '8', '8', '4', '4', '4', '4', '4', '4', '4', '4']
mp-645183;Na5Gd(MoO4)4;mp-19461;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Gd', 'Gd', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6];['8', '8', '4', '8', '8', '8', '8', '8', '8', '4', '8', '8', '4', '4', '4', '4', '4', '4', '4', '4']
mp-560822;Na5Lu(WO4)4;mp-19461;['W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'Lu', 'Lu', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na'];[6, 6, 6, 6, 6, 6, 6, 6, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];['4', '4', '4', '4', '4', '4', '4', '4', '8', '8', '4', '4', '8', '8', '8', '8', '8', '8', '8', '8']
mp-19464;Na5Lu(MoO4)4;mp-19461;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Lu', 'Lu'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 6, 6, 6, 6, 6, 6, 6, 3, 3];['8', '8', '8', '8', '8', '8', '8', '8', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '8', '8']
mp-18944;Na5Y(WO4)4;mp-19461;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Y', 'Y', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6];['8', '8', '8', '8', '8', '4', '8', '8', '4', '8', '8', '8', '4', '4', '4', '4', '4', '4', '4', '4']
mp-19479;Na5La(MoO4)4;mp-19461;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'La', 'La'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 6, 6, 6, 6, 6, 6, 6, 3, 3];['8', '8', '8', '8', '8', '8', '8', '8', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '8', '8']
mp-19469;Na5Tb(MoO4)4;mp-19461;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Tb', 'Tb'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 6, 6, 6, 6, 6, 6, 6, 3, 3];['8', '8', '8', '8', '8', '8', '8', '8', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '8', '8']
mp-31114;Ho3GaO6;mp-31114;['Ga', 'Ga', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho'];[3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '7', '7', '7', '7', '7', '7']
mp-567358;Ca2VBiO6;mp-31114;['Ca', 'Ca', 'Ca', 'Ca', 'V', 'V', 'Bi', 'Bi'];[2, 2, 2, 2, 5, 5, 3, 3];['7', '7', '7', '7', '4', '4', '4', '4']
mp-557070;Ca2BiAsO6;mp-31114;['Ca', 'Ca', 'Ca', 'Ca', 'Bi', 'Bi', 'As', 'As'];[2, 2, 2, 2, 3, 3, 5, 5];['7', '7', '7', '7', '4', '4', '4', '4']
mp-31112;Tb3GaO6;mp-31114;['Ga', 'Ga', 'Tb', 'Tb', 'Tb', 'Tb', 'Tb', 'Tb'];[3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '7', '7', '7', '7', '7', '7']
mp-31110;Sm3GaO6;mp-31114;['Ga', 'Ga', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm'];[3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '7', '7', '7', '7', '7', '7']
mp-11773;Nd3GaO6;mp-31114;['Ga', 'Ga', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd'];[3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '7', '7', '7', '7', '7', '7']
mp-31113;Dy3GaO6;mp-31114;['Dy', 'Dy', 'Dy', 'Dy', 'Dy', 'Dy', 'Ga', 'Ga'];[3, 3, 3, 3, 3, 3, 3, 3];['7', '7', '7', '7', '7', '7', '4', '4']
mp-31115;Er3GaO6;mp-31114;['Ga', 'Ga', 'Er', 'Er', 'Er', 'Er', 'Er', 'Er'];[3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '7', '7', '7', '7', '7', '7']
mp-3594;Gd3GaO6;mp-31114;['Ga', 'Ga', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd', 'Gd'];[3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '7', '7', '7', '7', '7', '7']
mp-554722;Y3GaO6;mp-31114;['Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Ga', 'Ga'];[3, 3, 3, 3, 3, 3, 3, 3];['7', '7', '7', '7', '7', '7', '4', '4']
mp-556653;Cd2BiAsO6;mp-31114;['Cd', 'Cd', 'Cd', 'Cd', 'Bi', 'Bi', 'As', 'As'];[2, 2, 2, 2, 3, 3, 5, 5];['7', '7', '7', '7', '4', '4', '4', '4']
mp-4438;CaSnO3;mp-4438;['Ca', 'Ca', 'Ca', 'Ca', 'Sn', 'Sn', 'Sn', 'Sn'];[2, 2, 2, 2, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6']
mp-22220;LaLuO3;mp-4438;['La', 'La', 'La', 'La', 'Lu', 'Lu', 'Lu', 'Lu'];[3, 3, 3, 3, 3, 3, 3, 3];['8', '8', '8', '8', '6', '6', '6', '6']
mp-510537;Ca2NiOsO6;mp-4438;['Ca', 'Ca', 'Ca', 'Ca', 'Ni', 'Ni', 'Os', 'Os'];[2, 2, 2, 2, 2, 2, 6, 6];['8', '8', '8', '8', '6', '6', '6', '6']
mp-19377;LiLa2MoO6;mp-4438;['Li', 'Li', 'Mo', 'Mo', 'La', 'La', 'La', 'La'];[1, 1, 5, 5, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8']
