mp-id;formula;structure_type;cations;valences;CNs;Bond valence sum
mp-13933;Ba2HoReO6;mp-2920;['Ba', 'Ba', 'Ho', 'Re'];[2, 2, 3, 5];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-25003;Ba2UMnO6;mp-2920;['Mn', 'Ba', 'Ba', 'U'];[2, 2, 2, 6];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-5323;CeAlO3;mp-2920;['Al', 'Ce'];[3, 3];['6', '12'];[2.0, 2.0, 2.0]
mp-23482;BaBiO3;mp-2920;['Ba', 'Ba', 'Bi', 'Bi'];[2, 2, 5, 3];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-6135;Ba2PrIrO6;mp-2920;['Ba', 'Ba', 'Pr', 'Ir'];[2, 2, 3, 5];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-10335;Ba2CuTeO6;mp-2920;['Cu', 'Te', 'Ba', 'Ba'];[2, 6, 2, 2];['6', '6', '12', '12'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-12385;Ba2YTaO6;mp-2920;['Y', 'Ba', 'Ba', 'Ta'];[3, 2, 2, 5];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-9319;Ba2PrPtO6;mp-2920;['Ba', 'Ba', 'Pr', 'Pt'];[2, 2, 4, 4];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-20958;Ba2LaReO6;mp-2920;['Ba', 'Ba', 'La', 'Re'];[2, 2, 3, 5];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-18805;Sr2CoMoO6;mp-2920;['Co', 'Sr', 'Sr', 'Mo'];[2, 2, 2, 6];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-19996;Ba2GdNbO6;mp-2920;['Nb', 'Ba', 'Ba', 'Gd'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-22279;Ba2EuNbO6;mp-2920;['Nb', 'Ba', 'Ba', 'Eu'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-6798;Ba2NaReO6;mp-2920;['Na', 'Ba', 'Ba', 'Re'];[1, 2, 2, 7];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-19751;Ba2YbNbO6;mp-2920;['Nb', 'Ba', 'Ba', 'Yb'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-13323;Ba2EuNbO6;mp-2920;['Nb', 'Ba', 'Ba', 'Eu'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-12866;SrSnO3;mp-2920;['Sr', 'Sr', 'Sn', 'Sn'];[2, 2, 4, 4];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-14292;Ba2NdSbO6;mp-2920;['Sb', 'Ba', 'Ba', 'Nd'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-13929;Ba2SmReO6;mp-2920;['Ba', 'Ba', 'Sm', 'Re'];[2, 2, 3, 5];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-545603;Ba2BiSbO6;mp-2920;['Ba', 'Bi', 'Ba', 'Sb'];[2, 3, 2, 5];['12', '6', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-4900;BaCeO3;mp-2920;['Ba', 'Ba', 'Ce', 'Ce'];[2, 2, 4, 4];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-9890;TaAgO3;mp-2920;['Ag', 'Ag', 'Ta', 'Ta'];[1, 1, 5, 5];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-552176;Ba2PrNbO6;mp-2920;['Ba', 'Ba', 'Pr', 'Nb'];[2, 2, 3, 5];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-18908;Sr2NiTeO6;mp-2920;['Ni', 'Sr', 'Sr', 'Te'];[2, 2, 2, 6];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-13941;Sr2YbReO6;mp-2920;['Sr', 'Sr', 'Yb', 'Re'];[2, 2, 3, 5];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-3442;CaTiO3;mp-2920;['Ca', 'Ca', 'Ti', 'Ti'];[2, 2, 4, 4];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-6231;Ba2ErSbO6;mp-2920;['Sb', 'Ba', 'Ba', 'Er'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-19322;BaMoO3;mp-2920;['Mo', 'Ba'];[4, 2];['6', '12'];[2.0, 2.0, 2.0]
mp-7006;SrNbO3;mp-2920;['Sr', 'Nb'];[2, 4];['12', '6'];[2.0, 2.0, 2.0]
mp-10584;Ba2LiOsO6;mp-2920;['Li', 'Ba', 'Ba', 'Os'];[1, 2, 2, 7];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-557296;Sr2MnSbO6;mp-2920;['Sb', 'Sr', 'Mn', 'Sr'];[5, 2, 3, 2];['6', '12', '6', '12'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-13055;Ba2LaTaO6;mp-2920;['Ba', 'Ba', 'La', 'Ta'];[2, 2, 3, 5];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-20991;BaPbO3;mp-2920;['Ba', 'Ba', 'Pb', 'Pb'];[2, 2, 4, 4];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-24843;Ba2CoWO6;mp-2920;['Ba', 'Ba', 'Co', 'W'];[2, 2, 2, 6];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-557713;Ba2LaTaO6;mp-2920;['Ba', 'Ba', 'Ba', 'Ba', 'La', 'La', 'Ta', 'Ta'];[2, 2, 2, 2, 3, 3, 5, 5];['12', '12', '12', '12', '6', '6', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-12410;Ba2TbIrO6;mp-2920;['Ba', 'Ba', 'Tb', 'Ir'];[2, 2, 3, 5];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-5304;LaAlO3;mp-2920;['Al', 'La'];[3, 3];['6', '12'];[2.0, 2.0, 2.0]
mp-6609;Ba2HoRuO6;mp-2920;['Ru', 'Ba', 'Ba', 'Ho'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-20841;Ba2CaIrO6;mp-2920;['Ca', 'Ba', 'Ba', 'Ir'];[2, 2, 2, 6];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
