mp-id;formula;structure_type;cations;valences;CNs;Bond valence sum
mp-560530;Nb2Cd2O7;mp-560530;['Nb', 'Nb', 'Nb', 'Nb', 'Cd', 'Cd', 'Cd', 'Cd'];[5, 5, 5, 5, 2, 2, 2, 2];['6', '6', '6', '6', '8', '8', '8', '8'];[2.166666666666667, 1.0, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 1.0, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667]
mp-5950;Cd2Os2O7;mp-560530;['Cd', 'Cd', 'Cd', 'Cd', 'Os', 'Os', 'Os', 'Os'];[2, 2, 2, 2, 5, 5, 5, 5];['8', '8', '8', '8', '6', '6', '6', '6'];[1.0, 1.0, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667]
mp-505552;Cd2Ru2O7;mp-560530;['Ru', 'Ru', 'Ru', 'Ru', 'Cd', 'Cd', 'Cd', 'Cd'];[5, 5, 5, 5, 2, 2, 2, 2];['6', '6', '6', '6', '8', '8', '8', '8'];[2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 1.0, 1.0]
mp-14026;Ca2Ta2O7;mp-560530;['Ca', 'Ca', 'Ca', 'Ca', 'Ta', 'Ta', 'Ta', 'Ta'];[2, 2, 2, 2, 5, 5, 5, 5];['8', '8', '8', '8', '6', '6', '6', '6'];[2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 1.0, 1.0, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667]
mp-637431;Eu2Ru2O7;mp-560530;['Eu', 'Eu', 'Eu', 'Eu', 'Ru', 'Ru', 'Ru', 'Ru'];[2, 2, 2, 2, 5, 5, 5, 5];['8', '8', '8', '8', '6', '6', '6', '6'];[2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 1.0, 2.166666666666667, 2.166666666666667, 1.0, 2.166666666666667, 2.166666666666667, 2.166666666666667]
mp-554638;Ca2Ru2O7;mp-560530;['Ca', 'Ca', 'Ca', 'Ca', 'Ru', 'Ru', 'Ru', 'Ru'];[2, 2, 2, 2, 5, 5, 5, 5];['8', '8', '8', '8', '6', '6', '6', '6'];[2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 1.0, 2.166666666666667, 2.166666666666667, 2.166666666666667, 1.0, 2.166666666666667, 2.166666666666667]
mp-557697;Hg2Sb2O7;mp-560530;['Hg', 'Hg', 'Hg', 'Hg', 'Sb', 'Sb', 'Sb', 'Sb'];[2, 2, 2, 2, 5, 5, 5, 5];['8', '8', '8', '8', '6', '6', '6', '6'];[2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 1.0, 2.166666666666667, 2.166666666666667, 1.0, 2.166666666666667, 2.166666666666667]
mp-5548;Ta2Cd2O7;mp-560530;['Cd', 'Cd', 'Cd', 'Cd', 'Ta', 'Ta', 'Ta', 'Ta'];[2, 2, 2, 2, 5, 5, 5, 5];['8', '8', '8', '8', '6', '6', '6', '6'];[2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 1.0, 1.0, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667]
mp-5472;Nb2Cd2O7;mp-560530;['Nb', 'Nb', 'Nb', 'Nb', 'Cd', 'Cd', 'Cd', 'Cd'];[5, 5, 5, 5, 2, 2, 2, 2];['6', '6', '6', '6', '8', '8', '8', '8'];[1.0, 1.0, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667, 2.166666666666667]
mp-5869;Ca2CuO3;mp-5869;['Ca', 'Ca', 'Cu'];[2, 2, 2];['5', '5', '4'];[1.0, 2.5, 2.5]
mp-4359;Sr2PdO3;mp-5869;['Sr', 'Sr', 'Pd'];[2, 2, 2];['5', '5', '4'];[2.5, 2.5, 1.0]
mp-5456;Sr2CuO3;mp-5869;['Cu', 'Sr', 'Sr'];[2, 2, 2];['4', '5', '5'];[1.0, 2.5, 2.5]
