mp-id;formula;structure_type;cations;valences;CNs;Connections of Cations with Valences
mp-541485;Ba3CaRu2O9;mp-555078;['Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ca', 'Ca', 'Ru', 'Ru', 'Ru', 'Ru'];[2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5];['12', '12', '12', '12', '12', '12', '6', '6', '6', '6', '6', '6'];{'Ca': {2: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Ru': {5: {'no': 84, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-25719;Ba3NiRu2O9;mp-555078;['Ni', 'Ni', 'Ru', 'Ru', 'Ru', 'Ru', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba'];[2, 2, 5, 5, 5, 5, 2, 2, 2, 2, 2, 2];['6', '6', '6', '6', '6', '6', '12', '12', '12', '12', '12', '12'];{'Ni': {2: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Ru': {5: {'no': 108, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-6641;Ba3SrRu2O9;mp-555078;['Sr', 'Sr', 'Ru', 'Ru', 'Ru', 'Ru', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba'];[2, 2, 5, 5, 5, 5, 2, 2, 2, 2, 2, 2];['6', '6', '6', '6', '6', '6', '12', '12', '12', '12', '12', '12'];{'Sr': {2: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Ru': {5: {'no': 84, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-555174;BaTcO3;mp-555078;['Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Tc', 'Tc', 'Tc', 'Tc', 'Tc', 'Tc'];[2, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4];['12', '12', '12', '12', '12', '12', '6', '6', '6', '6', '6', '6'];{'Tc': {4: {'no': 148, 'corner': 24, 'edge': 0, 'face': 4}}}
mp-6520;Ba3MgRu2O9;mp-555078;['Mg', 'Mg', 'Ru', 'Ru', 'Ru', 'Ru', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba'];[2, 2, 5, 5, 5, 5, 2, 2, 2, 2, 2, 2];['6', '6', '6', '6', '6', '6', '12', '12', '12', '12', '12', '12'];{'Mg': {2: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Ru': {5: {'no': 108, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-541393;K3NaRe2O9;mp-555078;['K', 'K', 'K', 'K', 'K', 'K', 'Na', 'Na', 'Re', 'Re', 'Re', 'Re'];[1, 1, 1, 1, 1, 1, 1, 1, 7, 7, 7, 7];['12', '12', '12', '12', '12', '12', '6', '6', '6', '6', '6', '6'];{'Na': {1: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Re': {7: {'no': 84, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-19622;Ba3MnSb2O9;mp-555078;['Mn', 'Mn', 'Sb', 'Sb', 'Sb', 'Sb', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba'];[2, 2, 5, 5, 5, 5, 2, 2, 2, 2, 2, 2];['6', '6', '6', '6', '6', '6', '12', '12', '12', '12', '12', '12'];{'Mn': {2: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Sb': {5: {'no': 84, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-556189;Ba3NiIr2O9;mp-555078;['Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ni', 'Ni', 'Ir', 'Ir', 'Ir', 'Ir'];[2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5];['12', '12', '12', '12', '12', '12', '6', '6', '6', '6', '6', '6'];{'Ni': {2: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Ir': {5: {'no': 108, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-22472;Ba3CuRu2O9;mp-555078;['Cu', 'Cu', 'Ru', 'Ru', 'Ru', 'Ru', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba'];[2, 2, 5, 5, 5, 5, 2, 2, 2, 2, 2, 2];['6', '6', '6', '6', '6', '6', '12', '12', '12', '12', '12', '12'];{'Cu': {2: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Ru': {5: {'no': 100, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-554909;Ba3MgIr2O9;mp-555078;['Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Mg', 'Mg', 'Ir', 'Ir', 'Ir', 'Ir'];[2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5];['12', '12', '12', '12', '12', '12', '6', '6', '6', '6', '6', '6'];{'Mg': {2: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Ir': {5: {'no': 108, 'corner': 12, 'edge': 0, 'face': 4}}}
