mp-id;formula;cations;valences;CNs;Connections of Cations with Valences 
mp-19618;Zr2P2WO12;['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Zr', 'Zr', 'Zr', 'Zr', 'Zr', 'Zr', 'Zr', 'Zr', 'W', 'W', 'W', 'W'];[5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6];['4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4'];{'P': {5: {'no': 240, 'corner': 32, 'edge': 0, 'face': 0}}, 'Zr': {4: {'no': 240, 'corner': 48, 'edge': 0, 'face': 0}}, 'W': {6: {'no': 128, 'corner': 16, 'edge': 0, 'face': 0}}}
mp-705134;In2(MoO4)3;['In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'In': {3: {'no': 436, 'corner': 96, 'edge': 0, 'face': 0}}, 'Mo': {6: {'no': 628, 'corner': 96, 'edge': 0, 'face': 0}}}
mp-9841;Er2(SO4)3;['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'Er', 'Er', 'Er', 'Er', 'Er', 'Er', 'Er', 'Er'];[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6', '6', '6', '6', '6'];{'S': {6: {'no': 376, 'corner': 48, 'edge': 0, 'face': 0}}, 'Er': {3: {'no': 248, 'corner': 48, 'edge': 0, 'face': 0}}}
mp-554954;Fe2(SO4)3;['Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S'];[3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Fe': {3: {'no': 328, 'corner': 48, 'edge': 0, 'face': 0}}, 'S': {6: {'no': 568, 'corner': 48, 'edge': 0, 'face': 0}}}
mp-19546;Zr2Mo(PO6)2;['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Zr', 'Zr', 'Zr', 'Zr', 'Zr', 'Zr', 'Zr', 'Zr', 'Mo', 'Mo', 'Mo', 'Mo'];[5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6];['4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4'];{'P': {5: {'no': 240, 'corner': 32, 'edge': 0, 'face': 0}}, 'Zr': {4: {'no': 240, 'corner': 48, 'edge': 0, 'face': 0}}, 'Mo': {6: {'no': 128, 'corner': 16, 'edge': 0, 'face': 0}}}
mp-704851;Fe2(MoO4)3;['Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Fe': {3: {'no': 494, 'corner': 96, 'edge': 0, 'face': 0}}, 'Mo': {6: {'no': 738, 'corner': 96, 'edge': 0, 'face': 0}}}
mp-554631;Sb2(PO4)3;['Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P'];[4, 5, 4, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Sb': {4: {'no': 140, 'corner': 24, 'edge': 0, 'face': 0}, 5: {'no': 144, 'corner': 24, 'edge': 0, 'face': 0}}, 'P': {5: {'no': 500, 'corner': 48, 'edge': 0, 'face': 0}}}
mp-19521;Al2(MoO4)3;['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Al': {3: {'no': 256, 'corner': 48, 'edge': 0, 'face': 0}}, 'Mo': {6: {'no': 384, 'corner': 48, 'edge': 0, 'face': 0}}}
mp-705435;Fe2(MoO4)3;['Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Fe': {3: {'no': 472, 'corner': 96, 'edge': 0, 'face': 0}}, 'Mo': {6: {'no': 696, 'corner': 96, 'edge': 0, 'face': 0}}}
mp-565386;Y2(MoO4)3;['Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Y': {3: {'no': 192, 'corner': 48, 'edge': 0, 'face': 0}}, 'Mo': {6: {'no': 264, 'corner': 48, 'edge': 0, 'face': 0}}}
mp-704707;Cr2(MoO4)3;['Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Cr': {3: {'no': 500, 'corner': 96, 'edge': 0, 'face': 0}}, 'Mo': {6: {'no': 752, 'corner': 96, 'edge': 0, 'face': 0}}}
mp-32518;V2(PO4)3;['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6', '6', '6', '6', '6'];{'P': {5: {'no': 564, 'corner': 48, 'edge': 0, 'face': 0}}, 'V': {4: {'no': 164, 'corner': 24, 'edge': 0, 'face': 0}, 5: {'no': 160, 'corner': 24, 'edge': 0, 'face': 0}}}
mp-19594;Sc2(MoO4)3;['Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Sc': {3: {'no': 224, 'corner': 48, 'edge': 0, 'face': 0}}, 'Mo': {6: {'no': 312, 'corner': 48, 'edge': 0, 'face': 0}}}
mp-19559;Y2(WO4)3;['Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W'];[3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Y': {3: {'no': 192, 'corner': 48, 'edge': 0, 'face': 0}}, 'W': {6: {'no': 264, 'corner': 48, 'edge': 0, 'face': 0}}}
mp-9209;In2(SO4)3;['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'In', 'In', 'In', 'In', 'In', 'In', 'In', 'In'];[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6', '6', '6', '6', '6'];{'S': {6: {'no': 448, 'corner': 48, 'edge': 0, 'face': 0}}, 'In': {3: {'no': 276, 'corner': 48, 'edge': 0, 'face': 0}}}
mp-11673;Sc2(SeO4)3;['Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se'];[3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Sc': {3: {'no': 256, 'corner': 48, 'edge': 0, 'face': 0}}, 'Se': {6: {'no': 384, 'corner': 48, 'edge': 0, 'face': 0}}}
mp-647862;Cr2(MoO4)3;['Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Cr': {3: {'no': 232, 'corner': 48, 'edge': 0, 'face': 0}}, 'Mo': {6: {'no': 344, 'corner': 48, 'edge': 0, 'face': 0}}}
mp-541297;Fe2(SeO4)3;['Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se'];[3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Fe': {3: {'no': 272, 'corner': 48, 'edge': 0, 'face': 0}}, 'Se': {6: {'no': 452, 'corner': 48, 'edge': 0, 'face': 0}}}
mp-31766;Fe2(MoO4)3;['Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Fe': {3: {'no': 232, 'corner': 48, 'edge': 0, 'face': 0}}, 'Mo': {6: {'no': 344, 'corner': 48, 'edge': 0, 'face': 0}}}
mp-19588;Sc2(WO4)3;['Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W'];[3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Sc': {3: {'no': 216, 'corner': 48, 'edge': 0, 'face': 0}}, 'W': {6: {'no': 304, 'corner': 48, 'edge': 0, 'face': 0}}}
mp-579296;Al2(MoO4)3;['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Al': {3: {'no': 512, 'corner': 96, 'edge': 0, 'face': 0}}, 'Mo': {6: {'no': 780, 'corner': 96, 'edge': 0, 'face': 0}}}
mp-18721;Mn2P2O7;['P', 'P', 'Mn', 'Mn'];[5, 5, 2, 2];['4', '4', '6', '6'];{'P': {5: {'no': 118, 'corner': 14, 'edge': 0, 'face': 0}}, 'Mn': {2: {'no': 114, 'corner': 12, 'edge': 6, 'face': 0}}}
mp-552663;LiScAs2O7;['As', 'Li', 'As', 'Sc'];[5, 1, 5, 3];['4', '8', '4', '6'];{'As': {5: {'no': 114, 'corner': 14, 'edge': 2, 'face': 0}}, 'Li': {1: {'no': 51, 'corner': 8, 'edge': 5, 'face': 0}}, 'Sc': {3: {'no': 57, 'corner': 6, 'edge': 3, 'face': 0}}}
mp-5594;Sc2Si2O7;['Si', 'Si', 'Sc', 'Sc'];[4, 4, 3, 3];['4', '4', '6', '6'];{'Si': {4: {'no': 122, 'corner': 14, 'edge': 0, 'face': 0}}, 'Sc': {3: {'no': 118, 'corner': 12, 'edge': 6, 'face': 0}}}
mp-2874;In2Si2O7;['Si', 'Si', 'In', 'In'];[4, 4, 3, 3];['4', '4', '6', '6'];{'Si': {4: {'no': 118, 'corner': 14, 'edge': 0, 'face': 0}}, 'In': {3: {'no': 110, 'corner': 12, 'edge': 6, 'face': 0}}}
mp-5427;Mg2P2O7;['Mg', 'Mg', 'P', 'P'];[2, 2, 5, 5];['6', '6', '4', '4'];{'Mg': {2: {'no': 118, 'corner': 12, 'edge': 6, 'face': 0}}, 'P': {5: {'no': 126, 'corner': 14, 'edge': 0, 'face': 0}}}
mp-18740;V2Cd2O7;['V', 'V', 'Cd', 'Cd'];[5, 5, 2, 2];['4', '4', '8', '8'];{'V': {5: {'no': 78, 'corner': 14, 'edge': 4, 'face': 0}}, 'Cd': {2: {'no': 68, 'corner': 20, 'edge': 12, 'face': 0}}}
mp-5280;In2Ge2O7;['Ge', 'Ge', 'In', 'In'];[4, 4, 3, 3];['5', '5', '6', '6'];{'Ge': {4: {'no': 108, 'corner': 10, 'edge': 6, 'face': 0}}, 'In': {3: {'no': 110, 'corner': 8, 'edge': 10, 'face': 0}}}
mp-18819;Ni2P2O7;['P', 'P', 'Ni', 'Ni'];[5, 5, 2, 2];['4', '4', '6', '6'];{'P': {5: {'no': 126, 'corner': 14, 'edge': 0, 'face': 0}}, 'Ni': {2: {'no': 122, 'corner': 12, 'edge': 6, 'face': 0}}}
mp-7193;Lu2Si2O7;['Si', 'Si', 'Lu', 'Lu'];[4, 4, 3, 3];['4', '4', '6', '6'];{'Si': {4: {'no': 114, 'corner': 14, 'edge': 0, 'face': 0}}, 'Lu': {3: {'no': 110, 'corner': 12, 'edge': 6, 'face': 0}}}
mp-5652;Y2Si2O7;['Si', 'Si', 'Y', 'Y'];[4, 4, 3, 3];['4', '4', '6', '6'];{'Si': {4: {'no': 110, 'corner': 14, 'edge': 0, 'face': 0}}, 'Y': {3: {'no': 110, 'corner': 12, 'edge': 6, 'face': 0}}}
mp-5618;Mg2As2O7;['Mg', 'Mg', 'As', 'As'];[2, 2, 5, 5];['6', '6', '5', '5'];{'Mg': {2: {'no': 118, 'corner': 8, 'edge': 10, 'face': 0}}, 'As': {5: {'no': 120, 'corner': 10, 'edge': 6, 'face': 0}}}
mp-10486;Cd2As2O7;['As', 'As', 'Cd', 'Cd'];[5, 5, 2, 2];['4', '4', '6', '6'];{'As': {5: {'no': 94, 'corner': 14, 'edge': 0, 'face': 0}}, 'Cd': {2: {'no': 94, 'corner': 12, 'edge': 6, 'face': 0}}}
mp-19142;Mn2V2O7;['V', 'V', 'Mn', 'Mn'];[5, 5, 2, 2];['5', '5', '6', '6'];{'V': {5: {'no': 108, 'corner': 10, 'edge': 6, 'face': 0}}, 'Mn': {2: {'no': 106, 'corner': 8, 'edge': 10, 'face': 0}}}
mp-3107;Ga3PO7;['P', 'Ga', 'Ga', 'Ga'];[5, 3, 3, 3];['4', '5', '5', '5'];{'P': {5: {'no': 62, 'corner': 6, 'edge': 0, 'face': 0}}, 'Ga': {3: {'no': 180, 'corner': 18, 'edge': 6, 'face': 0}}}
mp-19290;Mn2As2O7;['Mn', 'Mn', 'As', 'As'];[2, 2, 5, 5];['6', '6', '4', '4'];{'Mn': {2: {'no': 110, 'corner': 12, 'edge': 6, 'face': 0}}, 'As': {5: {'no': 110, 'corner': 14, 'edge': 0, 'face': 0}}}
mp-24860;Co2P2O7;['P', 'P', 'Co', 'Co'];[5, 5, 2, 2];['4', '4', '6', '6'];{'P': {5: {'no': 122, 'corner': 14, 'edge': 0, 'face': 0}}, 'Co': {2: {'no': 118, 'corner': 12, 'edge': 6, 'face': 0}}}
mp-18849;Fe2P2O7;['P', 'P', 'Fe', 'Fe'];[5, 5, 2, 2];['4', '4', '6', '6'];{'P': {5: {'no': 118, 'corner': 14, 'edge': 0, 'face': 0}}, 'Fe': {2: {'no': 116, 'corner': 12, 'edge': 6, 'face': 0}}}
mp-7064;Er2Si2O7;['Si', 'Si', 'Er', 'Er'];[4, 4, 3, 3];['4', '4', '6', '6'];{'Si': {4: {'no': 110, 'corner': 14, 'edge': 0, 'face': 0}}, 'Er': {3: {'no': 110, 'corner': 12, 'edge': 6, 'face': 0}}}
mp-505200;CoCuP2O7;['P', 'P', 'Co', 'Cu'];[5, 5, 2, 2];['4', '4', '6', '5'];{'P': {5: {'no': 125, 'corner': 13, 'edge': 0, 'face': 0}}, 'Co': {2: {'no': 59, 'corner': 7, 'edge': 2, 'face': 0}}, 'Cu': {2: {'no': 60, 'corner': 6, 'edge': 2, 'face': 0}}}
mp-6929;Ca2As2O7;['Ca', 'Ca', 'As', 'As'];[2, 2, 5, 5];['6', '6', '4', '4'];{'Ca': {2: {'no': 86, 'corner': 12, 'edge': 6, 'face': 0}}, 'As': {5: {'no': 90, 'corner': 14, 'edge': 0, 'face': 0}}}
mp-7079;CaZrSi2O7;['Si', 'Si', 'Ca', 'Zr'];[4, 4, 2, 4];['4', '4', '8', '6'];{'Si': {4: {'no': 112, 'corner': 14, 'edge': 2, 'face': 0}}, 'Ca': {2: {'no': 51, 'corner': 8, 'edge': 5, 'face': 0}}, 'Zr': {4: {'no': 55, 'corner': 6, 'edge': 3, 'face': 0}}}
mp-9595;NbInO4;['Nb', 'Nb', 'In', 'In'];[5, 5, 3, 3];['6', '6', '6', '6'];{'Nb': {5: {'no': 104, 'corner': 16, 'edge': 4, 'face': 0}}, 'In': {3: {'no': 104, 'corner': 16, 'edge': 4, 'face': 0}}}
mp-17101;CaNb2O6;['Ca', 'Ca', 'Ca', 'Ca', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb'];[2, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'Ca': {2: {'no': 176, 'corner': 32, 'edge': 8, 'face': 0}}, 'Nb': {5: {'no': 368, 'corner': 64, 'edge': 16, 'face': 0}}}
mp-19421;FeWO4;['Fe', 'Fe', 'W', 'W'];[2, 2, 6, 6];['6', '6', '6', '6'];{'Fe': {2: {'no': 108, 'corner': 16, 'edge': 4, 'face': 0}}, 'W': {6: {'no': 108, 'corner': 16, 'edge': 4, 'face': 0}}}
mp-18918;ZnWO4;['Zn', 'Zn', 'W', 'W'];[2, 2, 6, 6];['6', '6', '6', '6'];{'Zn': {2: {'no': 112, 'corner': 16, 'edge': 4, 'face': 0}}, 'W': {6: {'no': 112, 'corner': 16, 'edge': 4, 'face': 0}}}
mp-7228;ReO2;['Re', 'Re', 'Re', 'Re'];[4, 4, 4, 4];['6', '6', '6', '6'];{'Re': {4: {'no': 224, 'corner': 32, 'edge': 8, 'face': 0}}}
mp-18875;MgWO4;['Mg', 'Mg', 'W', 'W'];[2, 2, 6, 6];['6', '6', '6', '6'];{'Mg': {2: {'no': 112, 'corner': 16, 'edge': 4, 'face': 0}}, 'W': {6: {'no': 112, 'corner': 16, 'edge': 4, 'face': 0}}}
mp-17953;MgNb2O6;['Mg', 'Mg', 'Mg', 'Mg', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb'];[2, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'Mg': {2: {'no': 216, 'corner': 32, 'edge': 8, 'face': 0}}, 'Nb': {5: {'no': 432, 'corner': 64, 'edge': 16, 'face': 0}}}
mp-553961;ScNbO4;['Sc', 'Sc', 'Nb', 'Nb'];[3, 3, 5, 5];['6', '6', '6', '6'];{'Sc': {3: {'no': 104, 'corner': 16, 'edge': 4, 'face': 0}}, 'Nb': {5: {'no': 104, 'corner': 16, 'edge': 4, 'face': 0}}}
mp-561542;Ta2MnO6;['Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Mn', 'Mn', 'Mn', 'Mn'];[5, 5, 5, 5, 5, 5, 5, 5, 2, 2, 2, 2];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'Ta': {5: {'no': 432, 'corner': 64, 'edge': 16, 'face': 0}}, 'Mn': {2: {'no': 216, 'corner': 32, 'edge': 8, 'face': 0}}}
mp-19455;MnMoO4;['Mn', 'Mn', 'Mo', 'Mo'];[2, 2, 6, 6];['6', '6', '6', '6'];{'Mn': {2: {'no': 112, 'corner': 16, 'edge': 4, 'face': 0}}, 'Mo': {6: {'no': 112, 'corner': 16, 'edge': 4, 'face': 0}}}
mp-19019;NiMoO4;['Ni', 'Ni', 'Mo', 'Mo'];[2, 2, 6, 6];['6', '6', '6', '6'];{'Ni': {2: {'no': 120, 'corner': 16, 'edge': 4, 'face': 0}}, 'Mo': {6: {'no': 116, 'corner': 16, 'edge': 4, 'face': 0}}}
mp-540682;Nb2CoO6;['Co', 'Co', 'Co', 'Co', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb'];[2, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'Co': {2: {'no': 216, 'corner': 32, 'edge': 8, 'face': 0}}, 'Nb': {5: {'no': 432, 'corner': 64, 'edge': 16, 'face': 0}}}
mp-17177;Nb2ZnO6;['Zn', 'Zn', 'Zn', 'Zn', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb'];[2, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'Zn': {2: {'no': 216, 'corner': 32, 'edge': 8, 'face': 0}}, 'Nb': {5: {'no': 432, 'corner': 64, 'edge': 16, 'face': 0}}}
mp-19092;CoWO4;['Co', 'Co', 'W', 'W'];[2, 2, 6, 6];['6', '6', '6', '6'];{'Co': {2: {'no': 116, 'corner': 16, 'edge': 4, 'face': 0}}, 'W': {6: {'no': 112, 'corner': 16, 'edge': 4, 'face': 0}}}
mp-8979;TaInO4;['In', 'In', 'Ta', 'Ta'];[3, 3, 5, 5];['6', '6', '6', '6'];{'In': {3: {'no': 104, 'corner': 16, 'edge': 4, 'face': 0}}, 'Ta': {5: {'no': 104, 'corner': 16, 'edge': 4, 'face': 0}}}
mp-19435;CoMoO4;['Co', 'Co', 'Mo', 'Mo'];[2, 2, 6, 6];['6', '6', '6', '6'];{'Co': {2: {'no': 116, 'corner': 16, 'edge': 4, 'face': 0}}, 'Mo': {6: {'no': 116, 'corner': 16, 'edge': 4, 'face': 0}}}
