mp-id;formula;cations;valences;CNs;Connections of Cations with Valences
mp-3884;Ho2Sn2O7;['Sn', 'Sn', 'Sn', 'Sn', 'Ho', 'Ho', 'Ho', 'Ho'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Ho': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-642754;Gd2Mo2O7;['Gd', 'Gd', 'Gd', 'Gd', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Gd': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Mo': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-22094;Tl2Ru2O7;['Ru', 'Ru', 'Ru', 'Ru', 'Tl', 'Tl', 'Tl', 'Tl'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ru': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Tl': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-566186;Sm2Mo2O7;['Sm', 'Sm', 'Sm', 'Sm', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Sm': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Mo': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-25127;Lu2V2O7;['V', 'V', 'V', 'V', 'Lu', 'Lu', 'Lu', 'Lu'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'V': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}, 'Lu': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-756670;Eu2Pb2O7;['Eu', 'Eu', 'Eu', 'Eu', 'Pb', 'Pb', 'Pb', 'Pb'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Eu': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Pb': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-5950;Cd2Os2O7;['Cd', 'Cd', 'Cd', 'Cd', 'Os', 'Os', 'Os', 'Os'];[2, 2, 2, 2, 5, 5, 5, 5];['8', '8', '8', '8', '6', '6', '6', '6'];{'Cd': {2: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Os': {5: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-22259;Yb2Ru2O7;['Ru', 'Ru', 'Ru', 'Ru', 'Yb', 'Yb', 'Yb', 'Yb'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ru': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Yb': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-505552;Cd2Ru2O7;['Ru', 'Ru', 'Ru', 'Ru', 'Cd', 'Cd', 'Cd', 'Cd'];[5, 5, 5, 5, 2, 2, 2, 2];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ru': {5: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Cd': {2: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-14968;Dy2Ru2O7;['Ru', 'Ru', 'Ru', 'Ru', 'Dy', 'Dy', 'Dy', 'Dy'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ru': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Dy': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-4602;Tb2Ti2O7;['Ti', 'Ti', 'Ti', 'Ti', 'Tb', 'Tb', 'Tb', 'Tb'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ti': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Tb': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-19200;Tb2Mo2O7;['Mo', 'Mo', 'Mo', 'Mo', 'Tb', 'Tb', 'Tb', 'Tb'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Mo': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Tb': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-505801;Eu2Ti2O7;['Eu', 'Eu', 'Eu', 'Eu', 'Ti', 'Ti', 'Ti', 'Ti'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Eu': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Ti': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-17064;Gd2Sn2O7;['Sn', 'Sn', 'Sn', 'Sn', 'Gd', 'Gd', 'Gd', 'Gd'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Gd': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-4974;La2Zr2O7;['Zr', 'Zr', 'Zr', 'Zr', 'La', 'La', 'La', 'La'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Zr': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'La': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-3370;Y2Sn2O7;['Y', 'Y', 'Y', 'Y', 'Sn', 'Sn', 'Sn', 'Sn'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Y': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-566468;Er2V2O7;['Er', 'Er', 'Er', 'Er', 'V', 'V', 'V', 'V'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Er': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}, 'V': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-559426;Pr2Zr2O7;['Pr', 'Pr', 'Pr', 'Pr', 'Zr', 'Zr', 'Zr', 'Zr'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Pr': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Zr': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-2883;Sm2Sn2O7;['Sn', 'Sn', 'Sn', 'Sn', 'Sm', 'Sm', 'Sm', 'Sm'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Sm': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-15170;Lu2Sn2O7;['Sn', 'Sn', 'Sn', 'Sn', 'Lu', 'Lu', 'Lu', 'Lu'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Lu': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-642787;Y2V2O7;['Y', 'Y', 'Y', 'Y', 'V', 'V', 'V', 'V'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Y': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'V': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-558392;Bi2Ir2O7;['Bi', 'Bi', 'Bi', 'Bi', 'Ir', 'Ir', 'Ir', 'Ir'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Bi': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Ir': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-14026;Ca2Ta2O7;['Ca', 'Ca', 'Ca', 'Ca', 'Ta', 'Ta', 'Ta', 'Ta'];[2, 2, 2, 2, 5, 5, 5, 5];['8', '8', '8', '8', '6', '6', '6', '6'];{'Ca': {2: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Ta': {5: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-560530;Nb2Cd2O7;['Nb', 'Nb', 'Nb', 'Nb', 'Cd', 'Cd', 'Cd', 'Cd'];[5, 5, 5, 5, 2, 2, 2, 2];['6', '6', '6', '6', '8', '8', '8', '8'];{'Nb': {5: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Cd': {2: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-558448;Pr2Ir2O7;['Pr', 'Pr', 'Pr', 'Pr', 'Ir', 'Ir', 'Ir', 'Ir'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Pr': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Ir': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-505216;Gd2Ru2O7;['Gd', 'Gd', 'Gd', 'Gd', 'Ru', 'Ru', 'Ru', 'Ru'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Gd': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Ru': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-19674;Sc2Mn2O7;['Sc', 'Sc', 'Sc', 'Sc', 'Mn', 'Mn', 'Mn', 'Mn'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Sc': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}, 'Mn': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-4394;Pr2Sn2O7;['Sn', 'Sn', 'Sn', 'Sn', 'Pr', 'Pr', 'Pr', 'Pr'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Pr': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-637431;Eu2Ru2O7;['Eu', 'Eu', 'Eu', 'Eu', 'Ru', 'Ru', 'Ru', 'Ru'];[2, 2, 2, 2, 5, 5, 5, 5];['8', '8', '8', '8', '6', '6', '6', '6'];{'Eu': {2: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Ru': {5: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-3334;Tm2Sn2O7;['Sn', 'Sn', 'Sn', 'Sn', 'Tm', 'Tm', 'Tm', 'Tm'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Tm': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-560329;Ce2Zr2O7;['Ce', 'Ce', 'Ce', 'Ce', 'Zr', 'Zr', 'Zr', 'Zr'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Ce': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Zr': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-5548;Ta2Cd2O7;['Cd', 'Cd', 'Cd', 'Cd', 'Ta', 'Ta', 'Ta', 'Ta'];[2, 2, 2, 2, 5, 5, 5, 5];['8', '8', '8', '8', '6', '6', '6', '6'];{'Cd': {2: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Ta': {5: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-13801;Tl2Pt2O7;['Pt', 'Pt', 'Pt', 'Pt', 'Tl', 'Tl', 'Tl', 'Tl'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Pt': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Tl': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-15161;Tb2Ru2O7;['Ru', 'Ru', 'Ru', 'Ru', 'Tb', 'Tb', 'Tb', 'Tb'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ru': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Tb': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-20845;Dy2Sn2O7;['Sn', 'Sn', 'Sn', 'Sn', 'Dy', 'Dy', 'Dy', 'Dy'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Dy': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-23445;Bi2Ru2O7;['Ru', 'Ru', 'Ru', 'Ru', 'Bi', 'Bi', 'Bi', 'Bi'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ru': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Bi': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-685944;Eu2Zr2O7;['Eu', 'Eu', 'Eu', 'Eu', 'Zr', 'Zr', 'Zr', 'Zr'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Eu': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Zr': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-642823;Dy2V2O7;['Dy', 'Dy', 'Dy', 'Dy', 'V', 'V', 'V', 'V'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Dy': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}, 'V': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-4086;La2Sn2O7;['Sn', 'Sn', 'Sn', 'Sn', 'La', 'La', 'La', 'La'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'La': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-557697;Hg2Sb2O7;['Hg', 'Hg', 'Hg', 'Hg', 'Sb', 'Sb', 'Sb', 'Sb'];[2, 2, 2, 2, 5, 5, 5, 5];['8', '8', '8', '8', '6', '6', '6', '6'];{'Hg': {2: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Sb': {5: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-23341;Bi2Pt2O7;['Pt', 'Pt', 'Pt', 'Pt', 'Bi', 'Bi', 'Bi', 'Bi'];[2, 2, 2, 2, 5, 5, 5, 5];['6', '6', '6', '6', '8', '8', '8', '8'];{'Pt': {2: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Bi': {5: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-17113;Sm2Ru2O7;['Ru', 'Ru', 'Ru', 'Ru', 'Sm', 'Sm', 'Sm', 'Sm'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ru': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Sm': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-9765;Nd2Pt2O7;['Nd', 'Nd', 'Nd', 'Nd', 'Pt', 'Pt', 'Pt', 'Pt'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Nd': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Pt': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-3611;Dy2Hf2O7;['Dy', 'Dy', 'Dy', 'Dy', 'Hf', 'Hf', 'Hf', 'Hf'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Dy': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Hf': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
