mp-id;formula;structure_type;cations;valences;CNs;Connections depending on element, CN, and valence
mp-19066;W3O8;mp-698;['W', 'W', 'W'];[5, 5, 6];['7', '7', '6'];{'W': {'val1:5': {'val2:5': {'CN1:7': {'CN2:7': {'no': 62, 'corner': 6, 'edge': 4, 'face': 0}}}, 'val2:6': {'CN1:7': {'CN2:6': {'no': 36, 'corner': 8, 'edge': 4, 'face': 0}}, 'CN1:6': {'CN2:7': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:6': {'val2:5': {'CN1:7': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:7': {'no': 36, 'corner': 8, 'edge': 4, 'face': 0}}}, 'val2:6': {'CN1:6': {'CN2:6': {'no': 20, 'corner': 2, 'edge': 0, 'face': 0}}}}}}
mp-23261;I2O5;mp-23261;['I', 'I', 'I', 'I', 'I', 'I', 'I', 'I'];[5, 5, 5, 5, 5, 5, 5, 5];['5', '5', '5', '5', '6', '6', '6', '6'];{'I': {'val1:5': {'val2:5': {'CN1:5': {'CN2:5': {'no': 48, 'corner': 8, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 128, 'corner': 16, 'edge': 8, 'face': 0}}, 'CN1:6': {'CN2:5': {'no': 128, 'corner': 16, 'edge': 8, 'face': 0}, 'CN2:6': {'no': 48, 'corner': 8, 'edge': 4, 'face': 0}}}}}}
mp-505619;Ce11O20;mp-505619;['Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce'];[4, 3, 3, 4, 4, 3, 3, 4, 4, 4, 4];['8', '8', '8', '7', '7', '7', '7', '7', '7', '7', '7'];{'Ce': {'val1:4': {'val2:4': {'CN1:8': {'CN2:8': {'no': 4, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:7': {'no': 36, 'corner': 0, 'edge': 20, 'face': 0}}, 'CN1:7': {'CN2:8': {'no': 36, 'corner': 0, 'edge': 20, 'face': 0}, 'CN2:7': {'no': 126, 'corner': 12, 'edge': 26, 'face': 0}}}, 'val2:3': {'CN1:8': {'CN2:8': {'no': 16, 'corner': 0, 'edge': 4, 'face': 0}, 'CN2:7': {'no': 24, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:7': {'CN2:8': {'no': 92, 'corner': 0, 'edge': 24, 'face': 0}, 'CN2:7': {'no': 96, 'corner': 12, 'edge': 12, 'face': 0}}}}, 'val1:3': {'val2:4': {'CN1:8': {'CN2:8': {'no': 16, 'corner': 0, 'edge': 4, 'face': 0}, 'CN2:7': {'no': 92, 'corner': 0, 'edge': 24, 'face': 0}}, 'CN1:7': {'CN2:8': {'no': 24, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:7': {'no': 96, 'corner': 12, 'edge': 12, 'face': 0}}}, 'val2:3': {'CN1:8': {'CN2:8': {'no': 16, 'corner': 0, 'edge': 2, 'face': 0}, 'CN2:7': {'no': 20, 'corner': 0, 'edge': 16, 'face': 0}}, 'CN1:7': {'CN2:8': {'no': 20, 'corner': 0, 'edge': 16, 'face': 0}, 'CN2:7': {'no': 12, 'corner': 0, 'edge': 4, 'face': 0}}}}}}
mp-748;Ti5O9;mp-748;['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti'];[4, 4, 4, 4, 3, 3, 3, 3, 4, 4];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'Ti': {'val1:4': {'val2:4': {'CN1:6': {'CN2:6': {'no': 216, 'corner': 24, 'edge': 4, 'face': 4}}}, 'val2:3': {'CN1:6': {'CN2:6': {'no': 288, 'corner': 40, 'edge': 24, 'face': 0}}}}, 'val1:3': {'val2:4': {'CN1:6': {'CN2:6': {'no': 288, 'corner': 40, 'edge': 24, 'face': 0}}}, 'val2:3': {'CN1:6': {'CN2:6': {'no': 100, 'corner': 12, 'edge': 0, 'face': 0}}}}}}
mp-706490;Mo9O26;mp-706490;['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[6, 5, 6, 6, 6, 5, 6, 6, 5, 5, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 5, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'Mo': {'val1:6': {'val2:6': {'CN1:6': {'CN2:6': {'no': 590, 'corner': 116, 'edge': 24, 'face': 0}}}, 'val2:5': {'CN1:6': {'CN2:6': {'no': 320, 'corner': 56, 'edge': 0, 'face': 0}}}}, 'val1:5': {'val2:6': {'CN1:6': {'CN2:6': {'no': 320, 'corner': 56, 'edge': 0, 'face': 0}}}, 'val2:5': {'CN1:6': {'CN2:6': {'no': 40, 'corner': 20, 'edge': 0, 'face': 0}}}}}}
mp-510127;V6O11;mp-510127;['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[4, 4, 4, 4, 3, 3, 3, 3, 4, 4, 4, 4];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'V': {'val1:4': {'val2:4': {'CN1:6': {'CN2:6': {'no': 336, 'corner': 28, 'edge': 18, 'face': 4}}}, 'val2:3': {'CN1:6': {'CN2:6': {'no': 300, 'corner': 64, 'edge': 8, 'face': 0}}}}, 'val1:3': {'val2:4': {'CN1:6': {'CN2:6': {'no': 300, 'corner': 64, 'edge': 8, 'face': 0}}}, 'val2:3': {'CN1:6': {'CN2:6': {'no': 92, 'corner': 0, 'edge': 6, 'face': 0}}}}}}
mp-1470;Nb12O29;mp-1470;['Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb'];[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'Nb': {'val1:5': {'val2:5': {'CN1:6': {'CN2:6': {'no': 596, 'corner': 84, 'edge': 36, 'face': 0}}}, 'val2:4': {'CN1:6': {'CN2:6': {'no': 192, 'corner': 24, 'edge': 24, 'face': 0}}}}, 'val1:4': {'val2:5': {'CN1:6': {'CN2:6': {'no': 192, 'corner': 24, 'edge': 24, 'face': 0}}}, 'val2:4': {'CN1:6': {'CN2:6': {'no': 36, 'corner': 8, 'edge': 0, 'face': 0}}}}}}
mp-642328;U13O34;mp-642328;['U', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'U'];[5, 5, 5, 6, 5, 5, 5, 6, 5, 6, 5, 5, 5];['7', '7', '7', '6', '7', '7', '6', '7', '7', '6', '7', '6', '7'];{'U': {'val1:5': {'val2:5': {'CN1:7': {'CN2:7': {'no': 130, 'corner': 24, 'edge': 20, 'face': 0}, 'CN2:6': {'no': 84, 'corner': 16, 'edge': 8, 'face': 0}}, 'CN1:6': {'CN2:7': {'no': 84, 'corner': 16, 'edge': 8, 'face': 0}, 'CN2:6': {'no': 16, 'corner': 4, 'edge': 0, 'face': 0}}}, 'val2:6': {'CN1:7': {'CN2:6': {'no': 64, 'corner': 8, 'edge': 4, 'face': 0}, 'CN2:7': {'no': 24, 'corner': 0, 'edge': 4, 'face': 0}}, 'CN1:6': {'CN2:7': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 4, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:6': {'val2:5': {'CN1:7': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:7': {'no': 24, 'corner': 0, 'edge': 4, 'face': 0}}, 'CN1:6': {'CN2:7': {'no': 64, 'corner': 8, 'edge': 4, 'face': 0}, 'CN2:6': {'no': 4, 'corner': 0, 'edge': 0, 'face': 0}}}, 'val2:6': {'CN1:6': {'CN2:6': {'no': 12, 'corner': 6, 'edge': 0, 'face': 0}, 'CN2:7': {'no': 16, 'corner': 4, 'edge': 4, 'face': 0}}, 'CN1:7': {'CN2:6': {'no': 16, 'corner': 4, 'edge': 4, 'face': 0}, 'CN2:7': {'no': 2, 'corner': 2, 'edge': 0, 'face': 0}}}}}}
mp-557234;Mo17O47;mp-557234;['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 5, 5, 5, 5, 6, 6, 6, 6, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '7', '7', '7', '7', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'Mo': {'val1:5': {'val2:5': {'CN1:6': {'CN2:6': {'no': 256, 'corner': 64, 'edge': 4, 'face': 0}}}, 'val2:6': {'CN1:6': {'CN2:7': {'no': 136, 'corner': 0, 'edge': 24, 'face': 0}, 'CN2:6': {'no': 408, 'corner': 64, 'edge': 0, 'face': 0}}, 'CN1:7': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:6': {'val2:5': {'CN1:6': {'CN2:7': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 408, 'corner': 64, 'edge': 0, 'face': 0}}, 'CN1:7': {'CN2:6': {'no': 136, 'corner': 0, 'edge': 24, 'face': 0}}}, 'val2:6': {'CN1:7': {'CN2:7': {'no': 8, 'corner': 8, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 96, 'corner': 0, 'edge': 16, 'face': 0}}, 'CN1:6': {'CN2:7': {'no': 96, 'corner': 0, 'edge': 16, 'face': 0}, 'CN2:6': {'no': 176, 'corner': 52, 'edge': 0, 'face': 0}}}}}}
mp-1605;Ag3O4;mp-1605;['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag'];[3, 3, 3, 3, 2, 2];['4', '4', '4', '4', '4', '4'];{'Ag': {'val1:3': {'val2:3': {'CN1:4': {'CN2:4': {'no': 160, 'corner': 8, 'edge': 4, 'face': 0}}}, 'val2:2': {'CN1:4': {'CN2:4': {'no': 128, 'corner': 32, 'edge': 0, 'face': 0}}}}, 'val1:2': {'val2:3': {'CN1:4': {'CN2:4': {'no': 128, 'corner': 32, 'edge': 0, 'face': 0}}}, 'val2:2': {'CN1:4': {'CN2:4': {'no': 44, 'corner': 0, 'edge': 0, 'face': 0}}}}}}
