mp-id;formula;structure_type;cations;valences;CNs;Bond valence sum
mp-9812;ZnCO3;mp-3953;['C', 'C', 'Zn', 'Zn'];[4, 4, 2, 2];['3', '3', '6', '6'];[1.9999999999999998, 1.9999999999999998, 1.9999999999999998, 1.9999999999999998, 1.9999999999999998, 1.9999999999999998]
mp-18814;MnCO3;mp-3953;['C', 'C', 'Mn', 'Mn'];[4, 4, 2, 2];['3', '3', '6', '6'];[1.9999999999999998, 1.9999999999999998, 1.9999999999999998, 1.9999999999999998, 1.9999999999999998, 1.9999999999999998]
mp-4531;NaNO3;mp-3953;['N', 'N', 'Na', 'Na'];[5, 5, 1, 1];['3', '3', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-11715;MgSn(BO3)2;mp-3953;['B', 'B', 'Mg', 'Sn'];[3, 3, 2, 4];['3', '3', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-19147;NiCO3;mp-3953;['C', 'C', 'Ni', 'Ni'];[4, 4, 2, 2];['3', '3', '6', '6'];[1.9999999999999998, 1.9999999999999998, 1.9999999999999998, 1.9999999999999998, 1.9999999999999998, 1.9999999999999998]
mp-18946;VBO3;mp-3953;['B', 'B', 'V', 'V'];[3, 3, 3, 3];['3', '3', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-7027;InBO3;mp-3953;['B', 'B', 'In', 'In'];[3, 3, 3, 3];['3', '3', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-8180;LiNO3;mp-3953;['Li', 'Li', 'N', 'N'];[1, 1, 5, 5];['6', '6', '3', '3'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-19097;FeBO3;mp-3953;['B', 'B', 'Fe', 'Fe'];[3, 3, 3, 3];['3', '3', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-971;K2O;mp-971;['K', 'K'];[1, 1];['4', '4'];[2.0]
mp-27496;YUO4;mp-971;['U', 'Y'];[5, 3];['8', '8'];[2.0, 2.0, 2.0, 2.0]
mp-2364;PaO2;mp-971;['Pa'];[4];['8'];[2.0, 2.0]
mp-2352;Na2O;mp-971;['Na', 'Na'];[1, 1];['4', '4'];[2.0]
mp-1959;PuO2;mp-971;['Pu'];[4];['8'];[2.0, 2.0]
mp-1394;Rb2O;mp-971;['Rb', 'Rb'];[1, 1];['4', '4'];[2.0]
mp-643;ThO2;mp-971;['Th'];[4];['8'];[2.0, 2.0]
mp-20194;CeO2;mp-971;['Ce'];[4];['8'];[2.0, 2.0]
mp-2605;CaO;mp-2605;['Ca'];[2];['6'];[1.9999999999999998]
mp-21394;EuO;mp-2605;['Eu'];[2];['6'];[1.9999999999999998]
mp-1132;CdO;mp-2605;['Cd'];[2];['6'];[1.9999999999999998]
mp-10688;CeO;mp-2605;['Ce'];[2];['6'];[1.9999999999999998]
mp-2472;SrO;mp-2605;['Sr'];[2];['6'];[1.9999999999999998]
mp-1342;BaO;mp-2605;['Ba'];[2];['6'];[1.9999999999999998]
mp-1216;YbO;mp-2605;['Yb'];[2];['6'];[1.9999999999999998]
mp-1265;MgO;mp-2605;['Mg'];[2];['6'];[1.9999999999999998]
mp-18773;WO3;mp-18773;['W', 'W', 'W', 'W'];[6, 6, 6, 6];['6', '6', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-19443;WO3;mp-18773;['W', 'W'];[6, 6];['6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-190;ReO3;mp-18773;['Re'];[6];['6'];[2.0, 2.0, 2.0]
